run_id,attack,model,dataset,input_index,num_sentences,joined_reference,joined_prediction,reconstruction_time_sec,rouge1_fm,rouge2_fm,rougeL_fm,exact_match,token_acc,padded_token_acc,pred_len,ref_len
1c7e07d4867f,dager_ce,gpt2,sst2,0,2,it confirms fincher's status as a film maker who artfully bends technical know-how to the service of psychological insight.  too much of it feels unfocused and underdeveloped. ,it confirms fincher's status as a film maker who artfully bends technical know-how to the service of psychological insight.  too much of it feels unfocused and underdeveloped. ,9.029640197753906,1.0,1.0,1.0,1,1.0,1.0,37,37
1c7e07d4867f,dager_ce,gpt2,sst2,1,2,"a great ensemble cast can't lift this heartfelt enterprise out of the familiar.  prurient playthings aside, there's little to love about this english trifle. ","a great ensemble cast can't lift this heartfelt enterprise out of the familiar.  prurient playthings aside, there's little to love about this english trifle. ",8.444386959075928,1.0,1.0,1.0,1,1.0,1.0,35,35
1c7e07d4867f,dager_ce,gpt2,sst2,2,2,"it moves quickly, adroitly, and without fuss ; it doesn't give you time to reflect on the inanity -- and the cold war datedness -- of its premise.  it proves quite compelling as an intense, brooding character study. ","it moves quickly, adroitly, and without fuss ; it doesn't give you time to reflect on the inanity -- and the cold war datedness -- of its premise.  it proves quite compelling as an intense, brooding character study. ",8.808804035186768,1.0,1.0,1.0,1,1.0,1.0,51,51
1c7e07d4867f,dager_ce,gpt2,sst2,3,2,bogdanovich tantalizes by offering a peep show into the lives of the era's creme de la celluloid.  looks and feels like a project better suited for the small screen. ,bogdanovich tantalizes by offering a peep show into the lives of the era's creme de la celluloid.  looks and feels like a project better suited for the small screen. ,8.591677188873291,1.0,1.0,1.0,1,1.0,1.0,41,41
1c7e07d4867f,dager_ce,gpt2,sst2,4,2,"verbinski implements every hack-artist trick to give us the ooky-spookies.  this is a good script, good dialogue, funny even for adults. ","verbinski implements every hack-artist trick to give us the ooky-spookies.  this is a good script, good dialogue, funny even for adults. ",8.443616390228271,1.0,1.0,1.0,1,1.0,1.0,35,35
1c7e07d4867f,dager_ce,gpt2,sst2,5,2,"a painfully funny ode to bad behavior.  there is a fabric of complex ideas here, and feelings that profoundly deepen them. ","a painfully funny ode to bad behavior.  there is a fabric of complex ideas here, and feelings that profoundly deepen them. ",8.636866569519043,1.0,1.0,1.0,1,1.0,1.0,27,27
1c7e07d4867f,dager_ce,gpt2,sst2,6,2,"the overall effect is less like a children's movie than a recruitment film for future hollywood sellouts.  as the two leads, lathan and diggs are charming and have chemistry both as friends and lovers. ","the overall effect is less like a children's movie than a recruitment film for future hollywood sellouts.  as the two leads, lathan and diggs are charming and have chemistry both as friends and lovers. ",8.46885061264038,1.0,1.0,1.0,1,1.0,1.0,44,44
1c7e07d4867f,dager_ce,gpt2,sst2,7,2,"the title not only describes its main characters, but the lazy people behind the camera as well.  zhang... has done an amazing job of getting realistic performances from his mainly nonprofessional cast. ","the title not only describes its main characters, but the lazy people behind the camera as well.  zhang... has done an amazing job of getting realistic performances from his mainly nonprofessional cast. ",8.443612575531006,1.0,1.0,1.0,1,1.0,1.0,40,40
1c7e07d4867f,dager_ce,gpt2,sst2,8,2,"not only is undercover brother as funny, if not more so, than both austin powers films, but it's also one of the smarter, savvier spoofs to come along in some time.  beautifully observed, miraculously unsentimental comedy-drama. ","not only is undercover brother as funny, if not more so, than both austin powers films, but it's also one of the smarter, savvier spoofs to come along in some time.  beautifully observed, miraculously unsentimental comedy-drama. ",8.514729976654053,1.0,1.0,1.0,1,1.0,1.0,55,55
1c7e07d4867f,dager_ce,gpt2,sst2,9,2,"the last 20 minutes are somewhat redeeming, but most of the movie is the same teenage american road-trip drek we've seen before - only this time you have to read the fart jokes  if you dig on david mamet's mind tricks... rent this movie and enjoy! ","the last 20 minutes are somewhat redeeming, but most of the movie is the same teenage american road-trip drek we've seen before - only this time you have to read the fart jokes  if you dig on david mamet's mind tricks... rent this movie and enjoy! ",8.621729373931885,1.0,1.0,1.0,1,1.0,1.0,60,60
1c7e07d4867f,dager_ce,gpt2,sst2,10,2,"for all its impressive craftsmanship, and despite an overbearing series of third-act crescendos, lily chou-chou never really builds up a head of emotional steam.  yes, dull. ","for all its impressive craftsmanship, and despite an overbearing series of third-act crescendos, lily chou-chou never really builds up a head of emotional steam.  yes, dull. ",8.55136251449585,1.0,1.0,1.0,1,1.0,1.0,45,45
1c7e07d4867f,dager_ce,gpt2,sst2,11,2,"shaky close-ups of turkey-on-rolls, stubbly chins, liver spots, red noses and the filmmakers new bobbed do draw easy chuckles but lead nowhere.  the second coming of harry potter is a film far superior to its predecessor. ","shaky close-ups of turkey-on-rolls, stubbly chins, liver spots, red noses and the filmmakers new bobbed do draw easy chuckles but lead nowhere.  the second coming of harry potter is a film far superior to its predecessor. ",8.588568687438965,1.0,1.0,1.0,1,1.0,1.0,57,57
1c7e07d4867f,dager_ce,gpt2,sst2,12,2,"if you're hard up for raunchy college humor, this is your ticket right here.  nonsensical, dull `` cyber-horror '' flick is a grim, hollow exercise in flat scares and bad acting. ","if you're hard up for raunchy college humor, this is your ticket right here.  nonsensical, dull `` cyber-horror '' flick is a grim, hollow exercise in flat scares and bad acting. ",8.446639776229858,1.0,1.0,1.0,1,1.0,1.0,44,44
1c7e07d4867f,dager_ce,gpt2,sst2,13,2,"a delectable and intriguing thriller filled with surprises, read my lips is an original.  thanks to scott's charismatic roger and eisenberg's sweet nephew, roger dodger is one of the most compelling variations on in the company of men. ","a delectable and intriguing thriller filled with surprises, read my lips is an original.  thanks to scott's charismatic roger and eisenberg's sweet nephew, roger dodger is one of the most compelling variations on in the company of men. ",8.530772686004639,1.0,1.0,1.0,1,1.0,1.0,54,54
1c7e07d4867f,dager_ce,gpt2,sst2,14,2,"there's no emotional pulse to solaris.  a fast, funny, highly enjoyable movie. ","there's no emotional pulse to solaris.  a fast, funny, highly enjoyable movie. ",8.384685754776001,1.0,1.0,1.0,1,1.0,1.0,20,20
1c7e07d4867f,dager_ce,gpt2,sst2,15,2,"too restrained to be a freak show, too mercenary and obvious to be cerebral, too dull and pretentious to be engaging... the isle defies an easy categorization.  an unwise amalgam of broadcast news and vibes. ","too restrained to be a freak show, too mercenary and obvious to be cerebral, too dull and pretentious to be engaging... the isle defies an easy categorization.  an unwise amalgam of broadcast news and vibes. ",8.512628316879272,1.0,1.0,1.0,1,1.0,1.0,49,49
1c7e07d4867f,dager_ce,gpt2,sst2,16,2,"a pleasant enough romance with intellectual underpinnings, the kind of movie that entertains even as it turns maddeningly predictable.  it's not original, and, robbed of the element of surprise, it doesn't have any huge laughs in its story of irresponsible cops who love to play pranks. ","a pleasant enough romance with intellectual underpinnings, the kind of movie that entertains even as it turns maddeningly predictable.  it's not original, and, robbed of the element of surprise, it doesn't have any huge laughs in its story of irresponsible cops who love to play pranks. ",8.508532047271729,1.0,1.0,1.0,1,1.0,1.0,64,64
1c7e07d4867f,dager_ce,gpt2,sst2,17,2,"it's hard to imagine alan arkin being better than he is in this performance.  dazzles with its fully-written characters, its determined stylishness ( which always relates to characters and story ) and johnny dankworth's best soundtrack in years. ","it's hard to imagine alan arkin being better than he is in this performance.  dazzles with its fully-written characters, its determined stylishness ( which always relates to characters and story ) and johnny dankworth's best soundtrack in years. ",8.509432554244995,1.0,1.0,1.0,1,1.0,1.0,54,54
