attack,model,dataset,input_index,sentence_index,reference,prediction,rouge1_fm,rouge2_fm,rougeL_fm,exact_match,token_acc,padded_token_acc,pred_len,ref_len,canary_exact_match,canary_recovered_any,canary_token_recall,canary_token_precision,canary_rouge1_fm,canary_rouge2_fm,canary_rougeL_fm,foreign_canary_mentions,pred_canary_count,ref_canary_count,non_canary_rouge1_fm,non_canary_rouge2_fm,non_canary_rougeL_fm,non_canary_exact_match,non_canary_token_acc,non_canary_padded_token_acc,non_canary_pred_len,non_canary_ref_len
synthetic_autoregressive_proto,gpt2,sst2,0,0,qxjkvcanary000000 it confirms fincher 's status as a film maker who artfully bends technical know-how to the service of psychological insight .  qxjkvcanary000000,it great fincher adroitly status little lift love about lives give bends era familiar reflect de la inanity psychological insight cold war datedness of its premise,0.28571428571428575,0.0425531914893617,0.24489795918367346,0,0.0,0.0,31,43,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.2978723404255319,0.044444444444444446,0.25531914893617025,0,0.15384615384615385,0.15384615384615385,31,26
synthetic_autoregressive_proto,gpt2,sst2,0,1,qxjkvcanary000001 too much of it feels unfocused and underdeveloped .  qxjkvcanary000001,it much aside cast ca an fuss film does lives give you era familiar reflect de la inanity psychological insight cold war datedness of its premise,0.16666666666666669,0.0,0.1111111111111111,0,0.0,0.0,28,29,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.1764705882352941,0.0,0.11764705882352941,0,0.1,0.1,28,10
synthetic_autoregressive_proto,gpt2,sst2,0,2,qxjkvcanary000002 a great ensemble cast ca n't lift this heartfelt enterprise out of the familiar .  qxjkvcanary000002,it much aside cast ca an fuss film does lives give you era familiar reflect de la inanity psychological insight cold war datedness of its premise,0.186046511627907,0.048780487804878044,0.13953488372093026,0,0.0,0.0,28,35,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.1951219512195122,0.05128205128205128,0.14634146341463417,0,0.125,0.125,28,16
synthetic_autoregressive_proto,gpt2,sst2,0,3,"qxjkvcanary000003 prurient playthings aside , there 's little to love about this english trifle .  qxjkvcanary000003",it great fincher adroitly status little lift love about lives give bends era familiar reflect de la inanity psychological insight cold war datedness of its premise,0.15,0.052631578947368425,0.15,0,0.0,0.0,31,38,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.15789473684210525,0.05555555555555555,0.15789473684210525,0,0.0,0.0,31,19
synthetic_autoregressive_proto,gpt2,sst2,0,4,"qxjkvcanary000004 it moves quickly , adroitly , and without fuss ; it does n't give you time to reflect on the inanity -- and the cold war datedness -- of its premise .  qxjkvcanary000004",it much aside cast ca an fuss film does lives give you era familiar reflect de la inanity psychological insight cold war datedness of its premise,0.4727272727272727,0.2264150943396226,0.4727272727272727,0,0.0,0.0,28,56,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.49056603773584906,0.23529411764705882,0.49056603773584906,0,0.02702702702702703,0.02702702702702703,28,37
synthetic_autoregressive_proto,gpt2,sst2,0,5,"qxjkvcanary000005 it proves quite compelling as an intense , brooding character study .  qxjkvcanary000005",it much aside cast ca an fuss film does lives give you era familiar reflect de la inanity psychological insight cold war datedness of its premise,0.10526315789473684,0.0,0.10526315789473684,0,0.0,0.0,28,32,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.1111111111111111,0.0,0.1111111111111111,0,0.15384615384615385,0.15384615384615385,28,13
synthetic_autoregressive_proto,gpt2,sst2,0,6,qxjkvcanary000006 bogdanovich tantalizes by offering a peep show into the lives of the era 's creme de la celluloid .  qxjkvcanary000006,it much aside cast ca peep lift love does lives give bends time know-how creme de la inanity psychological insight cold war datedness of its premise,0.25531914893617025,0.08888888888888889,0.2127659574468085,0,0.0,0.0,32,45,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.26666666666666666,0.0930232558139535,0.22222222222222224,0,0.0,0.0,32,27
synthetic_autoregressive_proto,gpt2,sst2,0,7,qxjkvcanary000007 looks and feels like a project better suited for the small screen .  qxjkvcanary000007,bogdanovich confirms fincher adroitly status project better brooding character enterprise english screen time familiar reflect de service celluloid psychological insight cold war datedness of its premise,0.15,0.052631578947368425,0.15,0,0.0,0.0,35,32,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.15789473684210525,0.05555555555555555,0.15789473684210525,0,0.0,0.0,35,14
synthetic_autoregressive_proto,gpt2,sst2,1,0,qxjkvcanary000008 verbinski implements every hack-artist trick to give us the ooky-spookies .  qxjkvcanary000008,this is not an less bad give are but feelings adults people deepen film cast future lovers sellouts,0.0625,0.0,0.0625,0,0.0,0.0,19,38,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.06666666666666667,0.0,0.06666666666666667,0,0.0,0.0,19,19
synthetic_autoregressive_proto,gpt2,sst2,1,1,"qxjkvcanary000009 this is a good script , good dialogue , funny even for adults .  qxjkvcanary000009",this is not an less bad give are but feelings adults people deepen film cast future lovers sellouts,0.1935483870967742,0.06896551724137931,0.1935483870967742,0,0.0,0.0,19,33,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.20689655172413793,0.07407407407407408,0.20689655172413793,0,0.14285714285714285,0.14285714285714285,19,14
synthetic_autoregressive_proto,gpt2,sst2,1,2,qxjkvcanary000010 a painfully funny ode to bad behavior .  qxjkvcanary000010,this is not an less bad give are but feelings adults people deepen film cast future lovers sellouts,0.07407407407407407,0.0,0.07407407407407407,0,0.0,0.0,19,28,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.08,0.0,0.08,0,0.0,0.0,19,9
