run_id,attack,model,dataset,input_index,sentence_index,reference,prediction,rouge1_fm,rouge2_fm,rougeL_fm,exact_match,token_acc,padded_token_acc,pred_len,ref_len
f7c011a3b978,dager_ce,gpt2,sst2,0,0,"despite its title, punch-drunk love is never heavy-handed. ","despite its title, punch-drunk love is never heavy-handed. ",1.0,1.0,1.0,1,1.0,1.0,16,16
f7c011a3b978,dager_ce,gpt2,sst2,0,1,"forced, familiar and thoroughly condescending. ","forced, familiar and thoroughly condescending. ",1.0,1.0,1.0,1,1.0,1.0,9,9
f7c011a3b978,dager_ce,gpt2,sst2,0,2,binoche makes it interesting trying to find out. ,binoche makes it interesting trying to find out. ,1.0,1.0,1.0,1,1.0,1.0,11,11
f7c011a3b978,dager_ce,gpt2,sst2,0,3,"for all the writhing and wailing, tears, rage and opium overdoses, there's no sense of actual passion being washed away in love's dissolution. ","for all the writhing and wailing, tears, rage and opium overdoses, there's no sense of actual passion being washed away in love's dissolution. ",1.0,1.0,1.0,1,1.0,1.0,32,32
f7c011a3b978,dager_ce,gpt2,sst2,0,4,it's fascinating to see how bettany and mcdowell play off each other. ,it's fascinating to see how bettany and mcdowell play off each other. ,1.0,1.0,1.0,1,1.0,1.0,19,19
f7c011a3b978,dager_ce,gpt2,sst2,0,5,his healthy sense of satire is light and fun... ,his healthy sense of satire is light and fun... ,1.0,1.0,1.0,1,1.0,1.0,11,11
f7c011a3b978,dager_ce,gpt2,sst2,0,6,"the movie has an infectious exuberance that will engage anyone with a passing interest in the skate/surf culture, the l.a. beach scene and the imaginative ( and sometimes illegal ) ways kids can make a playground out of the refuse of adults. ","the movie has an infectious exuberance that will engage anyone with a passing interest in the skate/surf culture, the l.a. beach scene and the imaginative ( and sometimes illegal ) ways kids can make a playground out of the refuse of adults. ",1.0,1.0,1.0,1,1.0,1.0,53,53
f7c011a3b978,dager_ce,gpt2,sst2,0,7,"for movie lovers as well as opera lovers, tosca is a real treat. ","for movie lovers as well as opera lovers, tosca is a real treat. ",1.0,1.0,1.0,1,1.0,1.0,18,18
f7c011a3b978,dager_ce,gpt2,sst2,1,0,a giggle-inducing comedy with snappy dialogue and winning performances by an unlikely team of oscar-winners : susan sarandon and goldie hawn. ,a giggle-inducing comedy with snappy dialogue and winning performances by an unlikely team of oscar-winners : susan sarandon and goldie hawn. ,1.0,1.0,1.0,1,1.0,1.0,35,35
f7c011a3b978,dager_ce,gpt2,sst2,1,1,"generally, clockstoppers will fulfill your wildest fantasies about being a different kind of time traveler, while happily killing 94 minutes. ","generally, clockstoppers will fulfill your wildest fantasies about being a different kind of time traveler, while happily killing 94 minutes. ",1.0,1.0,1.0,1,1.0,1.0,28,28
f7c011a3b978,dager_ce,gpt2,sst2,1,2,"the action switches between past and present, but the material link is too tenuous to anchor the emotional connections that purport to span a 125-year divide. ","the action switches between past and present, but the material link is too tenuous to anchor the emotional connections that purport to span a 125-year divide. ",1.0,1.0,1.0,1,1.0,1.0,33,33
f7c011a3b978,dager_ce,gpt2,sst2,1,3,"the entire movie is about a boring, sad man being boring and sad. ","the entire movie is about a boring, sad man being boring and sad. ",1.0,1.0,1.0,1,1.0,1.0,16,16
f7c011a3b978,dager_ce,gpt2,sst2,1,4,the second coming of harry potter is a film far superior to its predecessor. ,the second coming of harry potter is a film far superior to its predecessor. ,1.0,1.0,1.0,1,1.0,1.0,18,18
f7c011a3b978,dager_ce,gpt2,sst2,1,5,"a densely constructed, highly referential film, and an audacious return to form that can comfortably sit among jean-luc godard's finest work. ","a densely constructed, highly referential film, and an audacious return to form that can comfortably sit among jean-luc godard's finest work. ",1.0,1.0,1.0,1,1.0,1.0,34,34
f7c011a3b978,dager_ce,gpt2,sst2,1,6,"so, too, is this comedy about mild culture clashing in today's new delhi. ","so, too, is this comedy about mild culture clashing in today's new delhi. ",1.0,1.0,1.0,1,1.0,1.0,20,20
f7c011a3b978,dager_ce,gpt2,sst2,1,7,"with the exception of some fleetingly amusing improvisations by cedric the entertainer as perry's boss, there isn't a redeeming moment here. ","with the exception of some fleetingly amusing improvisations by cedric the entertainer as perry's boss, there isn't a redeeming moment here. ",1.0,1.0,1.0,1,1.0,1.0,33,33
f7c011a3b978,dager_ce,gpt2,sst2,2,0,"a swashbuckling tale of love, betrayal, revenge and above all, faith. ","a swashbuckling tale of love, betrayal, revenge and above all, faith. ",1.0,1.0,1.0,1,1.0,1.0,19,19
f7c011a3b978,dager_ce,gpt2,sst2,2,1,"a poignant and compelling story about relationships, food of love takes us on a bumpy but satisfying journey of the heart. ","a poignant and compelling story about relationships, food of love takes us on a bumpy but satisfying journey of the heart. ",1.0,1.0,1.0,1,1.0,1.0,25,25
f7c011a3b978,dager_ce,gpt2,sst2,2,2,the subtle strength of `` elling '' is that it never loses touch with the reality of the grim situation. ,the subtle strength of `` elling '' is that it never loses touch with the reality of the grim situation. ,1.0,1.0,1.0,1,1.0,1.0,23,23
f7c011a3b978,dager_ce,gpt2,sst2,2,3,"an occasionally funny, but overall limp, fish-out-of-water story. ","an occasionally funny, but overall limp, fish-out-of-water story. ",1.0,1.0,1.0,1,1.0,1.0,18,18
