run_id,attack,model,dataset,input_index,sentence_index,reference,prediction,rouge1_fm,rouge2_fm,rougeL_fm,exact_match,token_acc,padded_token_acc,pred_len,ref_len
f58df7262ce2,dager_ce,gpt2,rotten_tomatoes,0,0,"awkward but sincere and, ultimately, it wins you over.","awkward but sincere and, ultimately, it wins you over.",1.0,1.0,1.0,1,1.0,1.0,13,13
f58df7262ce2,dager_ce,gpt2,rotten_tomatoes,0,1,a refreshing change from the usual whoopee-cushion effort aimed at the youth market.,a refreshing change from the usual whoopee-cushion effort aimed at the youth market.,1.0,1.0,1.0,1,1.0,1.0,20,20
f58df7262ce2,dager_ce,gpt2,rotten_tomatoes,0,2,"all comedy is subversive, but this unrelenting bleak insistence on opting out of any opportunity for finding meaning in relationships or work just becomes sad.","all comedy is subversive, but this unrelenting bleak insistence on opting out of any opportunity for finding meaning in relationships or work just becomes sad.",1.0,1.0,1.0,1,1.0,1.0,28,28
f58df7262ce2,dager_ce,gpt2,rotten_tomatoes,0,3,"it follows the blair witch formula for an hour, in which we're told something creepy and vague is in the works, and then it goes awry in the final 30 minutes.","it follows the blair witch formula for an hour, in which we're told something creepy and vague is in the works, and then it goes awry in the final 30 minutes.",1.0,1.0,1.0,1,1.0,1.0,37,37
f58df7262ce2,dager_ce,gpt2,rotten_tomatoes,0,4,"you see robin williams and psycho killer, and you think, hmmmmm. you see the movie and you think, zzzzzzzzz.","you see robin williams and psycho killer, and you think, hmmmmm. you see the movie and you think, zzzzzzzzz.",1.0,1.0,1.0,1,1.0,1.0,33,33
f58df7262ce2,dager_ce,gpt2,rotten_tomatoes,0,5,"violent, vulgar and forgettably entertaining.","violent, vulgar and forgettably entertaining.",1.0,1.0,1.0,1,1.0,1.0,9,9
f58df7262ce2,dager_ce,gpt2,rotten_tomatoes,0,6,"the irwins emerge unscathed, but the fictional footage is unconvincing and criminally badly acted.","the irwins emerge unscathed, but the fictional footage is unconvincing and criminally badly acted.",1.0,1.0,1.0,1,1.0,1.0,22,22
f58df7262ce2,dager_ce,gpt2,rotten_tomatoes,0,7,"some of the visual flourishes are a little too obvious, but restrained and subtle storytelling, and fine performances make this delicate coming-of-age tale a treat.","some of the visual flourishes are a little too obvious, but restrained and subtle storytelling, and fine performances make this delicate coming-of-age tale a treat.",1.0,1.0,1.0,1,1.0,1.0,33,33
f58df7262ce2,dager_ce,gpt2,rotten_tomatoes,1,0,"a very well-meaning movie, and it will stand in future years as an eloquent memorial to the world trade center tragedy.","a very well-meaning movie, and it will stand in future years as an eloquent memorial to the world trade center tragedy.",1.0,1.0,1.0,1,1.0,1.0,26,26
f58df7262ce2,dager_ce,gpt2,rotten_tomatoes,1,1,"although the film boils down to a lightweight story about matchmaking, the characters make italian for beginners worth the journey","although the film boils down to a lightweight story about matchmaking, the characters make italian for beginners worth the journey",1.0,1.0,1.0,1,1.0,1.0,23,23
f58df7262ce2,dager_ce,gpt2,rotten_tomatoes,1,2,becomes the last thing you would expect from a film with this title or indeed from any plympton film : boring.,becomes the last thing you would expect from a film with this title or indeed from any plympton film : boring.,1.0,1.0,1.0,1,1.0,1.0,25,25
f58df7262ce2,dager_ce,gpt2,rotten_tomatoes,1,3,"for anyone who remembers the '60s or is interested in one man's response to stroke, ram dass : fierce grace is worth seeking out.","for anyone who remembers the '60s or is interested in one man's response to stroke, ram dass : fierce grace is worth seeking out.",1.0,1.0,1.0,1,1.0,1.0,30,30
f58df7262ce2,dager_ce,gpt2,rotten_tomatoes,1,4,this is a movie so insecure about its capacity to excite that it churns up not one but two flagrantly fake thunderstorms to underscore the action.,this is a movie so insecure about its capacity to excite that it churns up not one but two flagrantly fake thunderstorms to underscore the action.,1.0,1.0,1.0,1,1.0,1.0,32,32
f58df7262ce2,dager_ce,gpt2,rotten_tomatoes,1,5,"stale first act, scrooge story, blatant product placement, some very good comedic songs, strong finish, dumb fart jokes.","stale first act, scrooge story, blatant product placement, some very good comedic songs, strong finish, dumb fart jokes.",1.0,1.0,1.0,1,1.0,1.0,27,27
f58df7262ce2,dager_ce,gpt2,rotten_tomatoes,1,6,cut through the layers of soap-opera emotion and you find a scathing portrayal of a powerful entity strangling the life out of the people who want to believe in it the most.,cut through the layers of soap-opera emotion and you find a scathing portrayal of a powerful entity strangling the life out of the people who want to believe in it the most.,1.0,1.0,1.0,1,1.0,1.0,37,37
f58df7262ce2,dager_ce,gpt2,rotten_tomatoes,1,7,some movies are like a tasty hors-d'oeuvre ; this one is a feast.,some movies are like a tasty hors-d'oeuvre ; this one is a feast.,1.0,1.0,1.0,1,1.0,1.0,19,19
f58df7262ce2,dager_ce,gpt2,rotten_tomatoes,2,0,diaz wears out her welcome in her most charmless performance,diaz wears,0.33333333333333337,0.19999999999999998,0.33333333333333337,0,0.25,0.25,3,12
f58df7262ce2,dager_ce,gpt2,rotten_tomatoes,2,1,"on its own staggeringly unoriginal terms, this gender-bending comedy is generally quite funny.",astonishing... [frames] profound ethical and philosophical questions in the form of dazzling pop entertainment.,0.0,0.0,0.0,0,0.05263157894736842,0.05263157894736842,19,19
f58df7262ce2,dager_ce,gpt2,rotten_tomatoes,2,2,astonishing... [frames] profound ethical and philosophical questions in the form of dazzling pop entertainment.,astonishing... [frames] profound ethical and philosophical questions in the form of dazzling pop entertainment.,1.0,1.0,1.0,1,1.0,1.0,19,19
f58df7262ce2,dager_ce,gpt2,rotten_tomatoes,2,3,"the filmmakers are playing to the big boys in new york and l. a. to that end, they mock the kind of folks they don't understand, ones they figure the power-lunchers don't care to understand, either.",the filmmakers,0.09756097560975609,0.05128205128205127,0.09756097560975609,0,0.04081632653061224,0.04081632653061224,2,49
