run_id,attack,model,dataset,input_index,sentence_index,reference,prediction,rouge1_fm,rouge2_fm,rougeL_fm,exact_match,token_acc,padded_token_acc,pred_len,ref_len
ad955b99afe0,hybrid_ce,openai-community/gpt2-large,cola,0,0,The children amused.,The children amused.,1.0,1.0,1.0,1,1.0,1.0,4,4
ad955b99afe0,hybrid_ce,openai-community/gpt2-large,cola,0,1,The committee knows whose efforts to achieve peace the world should honor.,The committee knows whose efforts to achieve peace the world should honor.,1.0,1.0,1.0,1,1.0,1.0,13,13
ad955b99afe0,hybrid_ce,openai-community/gpt2-large,cola,0,2,Some people yell at noisy dogs.,Some people yell at noisy dogs.,1.0,1.0,1.0,1,1.0,1.0,7,7
ad955b99afe0,hybrid_ce,openai-community/gpt2-large,cola,0,3,Harriet admired Mr Knightley.,Harriet admired Mr Knightley.,1.0,1.0,1.0,1,1.0,1.0,7,7
ad955b99afe0,hybrid_ce,openai-community/gpt2-large,cola,0,4,I read some of the book.,I read some of the book.,1.0,1.0,1.0,1,1.0,1.0,7,7
ad955b99afe0,hybrid_ce,openai-community/gpt2-large,cola,0,5,I gave John gold apples.,I gave John gold apples.,1.0,1.0,1.0,1,1.0,1.0,6,6
ad955b99afe0,hybrid_ce,openai-community/gpt2-large,cola,0,6,John made Bill mad at himself.,John made Bill mad at himself.,1.0,1.0,1.0,1,1.0,1.0,7,7
ad955b99afe0,hybrid_ce,openai-community/gpt2-large,cola,0,7,The teacher handed the student.,The teacher handed the student.,1.0,1.0,1.0,1,1.0,1.0,6,6
ad955b99afe0,hybrid_ce,openai-community/gpt2-large,cola,1,0,He washed yourself.,He washed yourself.,1.0,1.0,1.0,1,1.0,1.0,4,4
ad955b99afe0,hybrid_ce,openai-community/gpt2-large,cola,1,1,Wind was gotten of a plot to negotiate an honorable end to the war in Vietnam.,Wind was gotten of a plot to negotiate an honorable end to the war in Vietnam.,1.0,1.0,1.0,1,1.0,1.0,17,17
ad955b99afe0,hybrid_ce,openai-community/gpt2-large,cola,1,2,That Sandy had lied suggested.,That Sandy had lied suggested.,1.0,1.0,1.0,1,1.0,1.0,6,6
ad955b99afe0,hybrid_ce,openai-community/gpt2-large,cola,1,3,This girl in the red coat will put a picture of Bill in the mailbox and on your desk before tomorrow.,This girl in the red coat will put a picture of Bill in the mailbox and on your desk before tomorrow.,1.0,1.0,1.0,1,1.0,1.0,22,22
ad955b99afe0,hybrid_ce,openai-community/gpt2-large,cola,1,4,I no more could have stolen that steak than Jack the diamonds.,I no more could have stolen that steak than Jack the diamonds.,1.0,1.0,1.0,1,1.0,1.0,13,13
ad955b99afe0,hybrid_ce,openai-community/gpt2-large,cola,1,5,"Bill ate the peaches, and Harry did, too.","Bill ate the peaches, and Harry did, too.",1.0,1.0,1.0,1,1.0,1.0,12,12
ad955b99afe0,hybrid_ce,openai-community/gpt2-large,cola,1,6,It was to John that I gave the book.,It was to John that I gave the book.,1.0,1.0,1.0,1,1.0,1.0,10,10
ad955b99afe0,hybrid_ce,openai-community/gpt2-large,cola,1,7,I gave Pete the book to impress.,I gave Pete the book to impress.,1.0,1.0,1.0,1,1.0,1.0,8,8
ad955b99afe0,hybrid_ce,openai-community/gpt2-large,cola,2,0,Carla slid the book.,Carla slid the book.,1.0,1.0,1.0,1,1.0,1.0,6,6
ad955b99afe0,hybrid_ce,openai-community/gpt2-large,cola,2,1,The farmer loaded the cart with apples.,The farmer loaded the cart with apples.,1.0,1.0,1.0,1,1.0,1.0,8,8
ad955b99afe0,hybrid_ce,openai-community/gpt2-large,cola,2,2,Muriel said nothing else than that she had been insulted.,Muriel said nothing else than that she had been insulted.,1.0,1.0,1.0,1,1.0,1.0,12,12
ad955b99afe0,hybrid_ce,openai-community/gpt2-large,cola,2,3,Heidi likes her violin.,Heidi likes her violin.,1.0,1.0,1.0,1,1.0,1.0,6,6
ad955b99afe0,hybrid_ce,openai-community/gpt2-large,cola,2,4,I lent the book partway to Tony.,I lent the book partway to Tony.,1.0,1.0,1.0,1,1.0,1.0,9,9
ad955b99afe0,hybrid_ce,openai-community/gpt2-large,cola,2,5,What did Bill buy?,What did Bill buy?,1.0,1.0,1.0,1,1.0,1.0,5,5
ad955b99afe0,hybrid_ce,openai-community/gpt2-large,cola,2,6,A letter was received Jones would be upset by.,A letter was received Jones would be upset by.,1.0,1.0,1.0,1,1.0,1.0,10,10
ad955b99afe0,hybrid_ce,openai-community/gpt2-large,cola,2,7,The horse that was raced past the barn fell.,The horse that was raced past the barn fell.,1.0,1.0,1.0,1,1.0,1.0,10,10
ad955b99afe0,hybrid_ce,openai-community/gpt2-large,cola,3,0,John's arriving dead surprised me.,John's arriving dead surprised me.,1.0,1.0,1.0,1,1.0,1.0,7,7
ad955b99afe0,hybrid_ce,openai-community/gpt2-large,cola,3,1,I served leek soup to my guests.,I served leek soup to my guests.,1.0,1.0,1.0,1,1.0,1.0,9,9
ad955b99afe0,hybrid_ce,openai-community/gpt2-large,cola,3,2,The men will all leave.,The men will all leave.,1.0,1.0,1.0,1,1.0,1.0,6,6
ad955b99afe0,hybrid_ce,openai-community/gpt2-large,cola,3,3,"The more pictures of him that appear in the news, the more embarrassed John becomes.","The more pictures of him that appear in the news, the more embarrassed John becomes.",1.0,1.0,1.0,1,1.0,1.0,17,17
ad955b99afe0,hybrid_ce,openai-community/gpt2-large,cola,3,4,Cynthia chewed.,Cynthia chewed.,1.0,1.0,1.0,1,1.0,1.0,6,6
ad955b99afe0,hybrid_ce,openai-community/gpt2-large,cola,3,5,"I can't believe Fred won't, either.","I can't believe Fred won't, either.",1.0,1.0,1.0,1,1.0,1.0,10,10
ad955b99afe0,hybrid_ce,openai-community/gpt2-large,cola,3,6,I saw Bill while you did so Mary.,I saw Bill while you did so Mary.,1.0,1.0,1.0,1,1.0,1.0,9,9
ad955b99afe0,hybrid_ce,openai-community/gpt2-large,cola,3,7,Susan whispered at Rachel.,Susan whispered at Rachel.,1.0,1.0,1.0,1,1.0,1.0,5,5
ad955b99afe0,hybrid_ce,openai-community/gpt2-large,cola,4,0,This dye will run.,This dye will run.,1.0,1.0,1.0,1,1.0,1.0,5,5
ad955b99afe0,hybrid_ce,openai-community/gpt2-large,cola,4,1,The sailors rode the breeze clear of the rocks.,The sailors rode the breeze clear of the rocks.,1.0,1.0,1.0,1,1.0,1.0,10,10
ad955b99afe0,hybrid_ce,openai-community/gpt2-large,cola,4,2,Which girl did Mike quip never wore this hat?,Which girl did Mike quip never wore this hat?,1.0,1.0,1.0,1,1.0,1.0,11,11
ad955b99afe0,hybrid_ce,openai-community/gpt2-large,cola,4,3,Do you believe the claim that somebody was looking for something?,Do you believe the claim that somebody was looking for something?,1.0,1.0,1.0,1,1.0,1.0,12,12
ad955b99afe0,hybrid_ce,openai-community/gpt2-large,cola,4,4,You should sit before there.,You should sit before there.,1.0,1.0,1.0,1,1.0,1.0,6,6
ad955b99afe0,hybrid_ce,openai-community/gpt2-large,cola,4,5,Chocolate eggs were hidden from every child by his mother.,Chocolate eggs were hidden from every child by his mother.,1.0,1.0,1.0,1,1.0,1.0,12,12
ad955b99afe0,hybrid_ce,openai-community/gpt2-large,cola,4,6,The only person that I like whose kids Dana is willing to put up with is Pat.,The only person that I like whose kids Dana is willing to put up with is Pat.,1.0,1.0,1.0,1,1.0,1.0,18,18
ad955b99afe0,hybrid_ce,openai-community/gpt2-large,cola,4,7,Sandy was trying to work out which students would be able to solve a problem.,Sandy was trying to work out which students would be able to solve a problem.,1.0,1.0,1.0,1,1.0,1.0,17,17
ad955b99afe0,hybrid_ce,openai-community/gpt2-large,cola,5,0,The jury believed the defendant lied.,The jury believed the defendant lied.,1.0,1.0,1.0,1,1.0,1.0,7,7
ad955b99afe0,hybrid_ce,openai-community/gpt2-large,cola,5,1,The bird sing.,The bird sing.,1.0,1.0,1.0,1,1.0,1.0,4,4
ad955b99afe0,hybrid_ce,openai-community/gpt2-large,cola,5,2,The government's imposition of a fine.,The government's imposition of a fine.,1.0,1.0,1.0,1,1.0,1.0,8,8
ad955b99afe0,hybrid_ce,openai-community/gpt2-large,cola,5,3,The idea dismayed the Prime Minister that the Dome was dull.,The idea dismayed the Prime Minister that the Dome was dull.,1.0,1.0,1.0,1,1.0,1.0,13,13
ad955b99afe0,hybrid_ce,openai-community/gpt2-large,cola,5,4,John ate his noodle quietly.,John ate his noodle quietly.,1.0,1.0,1.0,1,1.0,1.0,7,7
ad955b99afe0,hybrid_ce,openai-community/gpt2-large,cola,5,5,Wash you!,Wash you!,1.0,1.0,1.0,1,1.0,1.0,4,4
ad955b99afe0,hybrid_ce,openai-community/gpt2-large,cola,5,6,Did the child be in the school?,Did the child be in the school?,1.0,1.0,1.0,1,1.0,1.0,8,8
ad955b99afe0,hybrid_ce,openai-community/gpt2-large,cola,5,7,Susan told her a story.,Susan told her a story.,1.0,1.0,1.0,1,1.0,1.0,6,6
ad955b99afe0,hybrid_ce,openai-community/gpt2-large,cola,6,0,We think that Leslie likes us.,We think that Leslie likes us.,1.0,1.0,1.0,1,1.0,1.0,7,7
ad955b99afe0,hybrid_ce,openai-community/gpt2-large,cola,6,1,Anybody who attended last week's huge rally signed the petition.,Anybody who attended last week's huge rally signed the petition.,1.0,1.0,1.0,1,1.0,1.0,13,13
ad955b99afe0,hybrid_ce,openai-community/gpt2-large,cola,6,2,It is obvious that Pat is lying.,It is obvious that Pat is lying.,1.0,1.0,1.0,1,1.0,1.0,8,8
ad955b99afe0,hybrid_ce,openai-community/gpt2-large,cola,6,3,Jean persuaded Robert.,Jean persuaded Robert.,1.0,1.0,1.0,1,1.0,1.0,4,4
ad955b99afe0,hybrid_ce,openai-community/gpt2-large,cola,6,4,Was sunk.,Was sunk.,1.0,1.0,1.0,1,1.0,1.0,3,3
ad955b99afe0,hybrid_ce,openai-community/gpt2-large,cola,6,5,The only person whose kids Dana is willing to put up with was written by John.,The only person whose kids Dana is willing to put up with was written by John.,1.0,1.0,1.0,1,1.0,1.0,17,17
ad955b99afe0,hybrid_ce,openai-community/gpt2-large,cola,6,6,A good friend is remained to me by him.,A good friend is remained to me by him.,1.0,1.0,1.0,1,1.0,1.0,10,10
ad955b99afe0,hybrid_ce,openai-community/gpt2-large,cola,6,7,The fort fluttered with many flags.,The fort fluttered with many flags.,1.0,1.0,1.0,1,1.0,1.0,8,8
ad955b99afe0,hybrid_ce,openai-community/gpt2-large,cola,7,0,She talked to John or Mary but I don't know which.,She talked to John or Mary but I don't know which.,1.0,1.0,1.0,1,1.0,1.0,13,13
ad955b99afe0,hybrid_ce,openai-community/gpt2-large,cola,7,1,Chris handed Bo.,Chris handed Bo.,1.0,1.0,1.0,1,1.0,1.0,4,4
ad955b99afe0,hybrid_ce,openai-community/gpt2-large,cola,7,2,They were interested in his.,They were interested in his.,1.0,1.0,1.0,1,1.0,1.0,6,6
ad955b99afe0,hybrid_ce,openai-community/gpt2-large,cola,7,3,What did you ask who Medea gave?,What did you ask who Medea gave?,1.0,1.0,1.0,1,1.0,1.0,9,9
ad955b99afe0,hybrid_ce,openai-community/gpt2-large,cola,7,4,A pilot could be flying this plane.,A pilot could be flying this plane.,1.0,1.0,1.0,1,1.0,1.0,8,8
ad955b99afe0,hybrid_ce,openai-community/gpt2-large,cola,7,5,It never occurred to Pat that Chris knew the answer.,It never occurred to Pat that Chris knew the answer.,1.0,1.0,1.0,1,1.0,1.0,11,11
ad955b99afe0,hybrid_ce,openai-community/gpt2-large,cola,7,6,Give me the phone number of the person whose mother's dog died.,Give me the phone number of the person whose mother's dog died.,1.0,1.0,1.0,1,1.0,1.0,14,14
ad955b99afe0,hybrid_ce,openai-community/gpt2-large,cola,7,7,John is likely to leave.,John is likely to leave.,1.0,1.0,1.0,1,1.0,1.0,6,6
ad955b99afe0,hybrid_ce,openai-community/gpt2-large,cola,8,0,to steal talismans from witches is dangerous,to steal talismans from witches is dangerous,1.0,1.0,1.0,1,1.0,1.0,9,9
ad955b99afe0,hybrid_ce,openai-community/gpt2-large,cola,8,1,They may grow as high as bamboo.,They may grow as high as bamboo.,1.0,1.0,1.0,1,1.0,1.0,8,8
ad955b99afe0,hybrid_ce,openai-community/gpt2-large,cola,8,2,That we invaded Iraq really bites.,That we invaded Iraq really bites.,1.0,1.0,1.0,1,1.0,1.0,7,7
ad955b99afe0,hybrid_ce,openai-community/gpt2-large,cola,8,3,I would prefer for John to leave.,I would prefer for John to leave.,1.0,1.0,1.0,1,1.0,1.0,8,8
ad955b99afe0,hybrid_ce,openai-community/gpt2-large,cola,8,4,Dumb ideas are put notions in children's heads by TV.,Dumb ideas are put notions in children's heads by TV.,1.0,1.0,1.0,1,1.0,1.0,13,13
ad955b99afe0,hybrid_ce,openai-community/gpt2-large,cola,8,5,"Tom picked these grapes, and I washed some turnips, and Suzie will prepare these grapes.","Tom picked these grapes, and I washed some turnips, and Suzie will prepare these grapes.",1.0,1.0,1.0,1,1.0,1.0,20,20
ad955b99afe0,hybrid_ce,openai-community/gpt2-large,cola,8,6,The Dodgers beat the Red Sox and were beaten by the Giants.,The Dodgers beat the Red Sox and were beaten by the Giants.,1.0,1.0,1.0,1,1.0,1.0,13,13
ad955b99afe0,hybrid_ce,openai-community/gpt2-large,cola,8,7,Jessica loaded boxes on the wagon.,Jessica loaded boxes on the wagon.,1.0,1.0,1.0,1,1.0,1.0,7,7
ad955b99afe0,hybrid_ce,openai-community/gpt2-large,cola,9,0,1 gave Mary after the party a book.,1 gave Mary after the party a book.,1.0,1.0,1.0,1,1.0,1.0,9,9
ad955b99afe0,hybrid_ce,openai-community/gpt2-large,cola,9,1,"Fluffy is sick, which not everybody knows.","Fluffy is sick, which not everybody knows.",1.0,1.0,1.0,1,1.0,1.0,10,10
ad955b99afe0,hybrid_ce,openai-community/gpt2-large,cola,9,2,Phillip gave the medal to the soldier.,Phillip gave the medal to the soldier.,1.0,1.0,1.0,1,1.0,1.0,9,9
ad955b99afe0,hybrid_ce,openai-community/gpt2-large,cola,9,3,The farmer dumped the cart with apples.,The farmer dumped the cart with apples.,1.0,1.0,1.0,1,1.0,1.0,8,8
ad955b99afe0,hybrid_ce,openai-community/gpt2-large,cola,9,4,I am counting on Bill to get there on time.,I am counting on Bill to get there on time.,1.0,1.0,1.0,1,1.0,1.0,11,11
ad955b99afe0,hybrid_ce,openai-community/gpt2-large,cola,9,5,"Bill wondered how many papers Sandy had read, but he didn't care which ones.","Bill wondered how many papers Sandy had read, but he didn't care which ones.",1.0,1.0,1.0,1,1.0,1.0,17,17
ad955b99afe0,hybrid_ce,openai-community/gpt2-large,cola,9,6,They realised that never had Sir Thomas been so offended.,They realised that never had Sir Thomas been so offended.,1.0,1.0,1.0,1,1.0,1.0,11,11
ad955b99afe0,hybrid_ce,openai-community/gpt2-large,cola,9,7,Newsweek appeared on the newsstands.,Newsweek appeared on the newsstands.,1.0,1.0,1.0,1,1.0,1.0,9,9
ad955b99afe0,hybrid_ce,openai-community/gpt2-large,cola,10,0,Lights go out at ten. There will be no talking afterwards.,Lights go out at ten. There will be no talking afterwards.,1.0,1.0,1.0,1,1.0,1.0,14,14
ad955b99afe0,hybrid_ce,openai-community/gpt2-large,cola,10,1,The children are fond with the ice cream.,The children are fond with the ice cream.,1.0,1.0,1.0,1,1.0,1.0,9,9
ad955b99afe0,hybrid_ce,openai-community/gpt2-large,cola,10,2,Dumb ideas are put in children's heads.,Dumb ideas are put in children's heads.,1.0,1.0,1.0,1,1.0,1.0,10,10
ad955b99afe0,hybrid_ce,openai-community/gpt2-large,cola,10,3,Some sentences go on and on and on.,Some sentences go on and on and on.,1.0,1.0,1.0,1,1.0,1.0,9,9
ad955b99afe0,hybrid_ce,openai-community/gpt2-large,cola,10,4,I thought that you were sick.,I thought that you were sick.,1.0,1.0,1.0,1,1.0,1.0,7,7
ad955b99afe0,hybrid_ce,openai-community/gpt2-large,cola,10,5,John often meets Mary.,John often meets Mary.,1.0,1.0,1.0,1,1.0,1.0,5,5
ad955b99afe0,hybrid_ce,openai-community/gpt2-large,cola,10,6,Chocolate eggs were hidden from each other by the children.,Chocolate eggs were hidden from each other by the children.,1.0,1.0,1.0,1,1.0,1.0,12,12
ad955b99afe0,hybrid_ce,openai-community/gpt2-large,cola,10,7,No one can forgive that comment to you.,No one can forgive that comment to you.,1.0,1.0,1.0,1,1.0,1.0,9,9
ad955b99afe0,hybrid_ce,openai-community/gpt2-large,cola,11,0,"Everybody gets on well with a certain relative, but often only his therapist knows which one.","Everybody gets on well with a certain relative, but often only his therapist knows which one.",1.0,1.0,1.0,1,1.0,1.0,18,18
ad955b99afe0,hybrid_ce,openai-community/gpt2-large,cola,11,1,I dislike the people in whose house we stayed.,I dislike the people in whose house we stayed.,1.0,1.0,1.0,1,1.0,1.0,10,10
ad955b99afe0,hybrid_ce,openai-community/gpt2-large,cola,11,2,John believes it that Bill is here.,John believes it that Bill is here.,1.0,1.0,1.0,1,1.0,1.0,8,8
ad955b99afe0,hybrid_ce,openai-community/gpt2-large,cola,11,3,Everyone hopes everyone to sleep.,Everyone hopes everyone to sleep.,1.0,1.0,1.0,1,1.0,1.0,6,6
ad955b99afe0,hybrid_ce,openai-community/gpt2-large,cola,11,4,I saw someone yesterday I hadn't seen for years.,I saw someone yesterday I hadn't seen for years.,1.0,1.0,1.0,1,1.0,1.0,11,11
ad955b99afe0,hybrid_ce,openai-community/gpt2-large,cola,11,5,"The higher the stakes, the lower his expectations are.","The higher the stakes, the lower his expectations are.",1.0,1.0,1.0,1,1.0,1.0,11,11
ad955b99afe0,hybrid_ce,openai-community/gpt2-large,cola,11,6,That picture of Susan offended her.,That picture of Susan offended her.,1.0,1.0,1.0,1,1.0,1.0,7,7
ad955b99afe0,hybrid_ce,openai-community/gpt2-large,cola,11,7,I thought he liked myself,I thought he liked myself,1.0,1.0,1.0,1,1.0,1.0,5,5
ad955b99afe0,hybrid_ce,openai-community/gpt2-large,cola,12,0,The needle poked the cloth.,The needle poked the cloth.,1.0,1.0,1.0,1,1.0,1.0,6,6
ad955b99afe0,hybrid_ce,openai-community/gpt2-large,cola,12,1,I shaved myself.,I shaved myself.,1.0,1.0,1.0,1,1.0,1.0,4,4
ad955b99afe0,hybrid_ce,openai-community/gpt2-large,cola,12,2,Jessica crammed boxes at the truck.,Jessica crammed boxes at the truck.,1.0,1.0,1.0,1,1.0,1.0,7,7
ad955b99afe0,hybrid_ce,openai-community/gpt2-large,cola,12,3,John considers Bill silly.,John considers Bill silly.,1.0,1.0,1.0,1,1.0,1.0,5,5
ad955b99afe0,hybrid_ce,openai-community/gpt2-large,cola,12,4,Janet broke the cup.,Janet broke the cup.,1.0,1.0,1.0,1,1.0,1.0,6,6
ad955b99afe0,hybrid_ce,openai-community/gpt2-large,cola,12,5,I presented John with it dead.,I presented John with it dead.,1.0,1.0,1.0,1,1.0,1.0,7,7
ad955b99afe0,hybrid_ce,openai-community/gpt2-large,cola,12,6,The only people being added to our group who were at Harvard were students.,The only people being added to our group who were at Harvard were students.,1.0,1.0,1.0,1,1.0,1.0,15,15
ad955b99afe0,hybrid_ce,openai-community/gpt2-large,cola,12,7,This week will be a difficult one for us.,This week will be a difficult one for us.,1.0,1.0,1.0,1,1.0,1.0,10,10
ad955b99afe0,hybrid_ce,openai-community/gpt2-large,cola,13,0,I know you like the back of my hand.,I know you like the back of my hand.,1.0,1.0,1.0,1,1.0,1.0,10,10
ad955b99afe0,hybrid_ce,openai-community/gpt2-large,cola,13,1,John's mother likes himself.,John's mother likes himself.,1.0,1.0,1.0,1,1.0,1.0,6,6
ad955b99afe0,hybrid_ce,openai-community/gpt2-large,cola,13,2,"She talked to Harry, but I don't know who else.","She talked to Harry, but I don't know who else.",1.0,1.0,1.0,1,1.0,1.0,13,13
ad955b99afe0,hybrid_ce,openai-community/gpt2-large,cola,13,3,The teacher became angry with the students.,The teacher became angry with the students.,1.0,1.0,1.0,1,1.0,1.0,8,8
ad955b99afe0,hybrid_ce,openai-community/gpt2-large,cola,13,4,Brown presented a plaque to Jones.,Brown presented a plaque to Jones.,1.0,1.0,1.0,1,1.0,1.0,7,7
ad955b99afe0,hybrid_ce,openai-community/gpt2-large,cola,13,5,John is eager.,John is eager.,1.0,1.0,1.0,1,1.0,1.0,4,4
ad955b99afe0,hybrid_ce,openai-community/gpt2-large,cola,13,6,Some people consider noisy dogs in my neighborhood dangerous.,Some people consider noisy dogs in my neighborhood dangerous.,1.0,1.0,1.0,1,1.0,1.0,10,10
ad955b99afe0,hybrid_ce,openai-community/gpt2-large,cola,13,7,We preferred them on our team.,We preferred them on our team.,1.0,1.0,1.0,1,1.0,1.0,7,7
ad955b99afe0,hybrid_ce,openai-community/gpt2-large,cola,14,0,Sandra beamed a cheerful welcome.,Sandra beamed a cheerful welcome.,1.0,1.0,1.0,1,1.0,1.0,8,8
ad955b99afe0,hybrid_ce,openai-community/gpt2-large,cola,14,1,Ann bought a first edition of Richard III for $1000.,Ann bought a first edition of Richard III for $1000.,1.0,1.0,1.0,1,1.0,1.0,12,12
ad955b99afe0,hybrid_ce,openai-community/gpt2-large,cola,14,2,She goes and buying some whiskey.,She goes and buying some whiskey.,1.0,1.0,1.0,1,1.0,1.0,7,7
ad955b99afe0,hybrid_ce,openai-community/gpt2-large,cola,14,3,"If you had eaten more, you would want less.","If you had eaten more, you would want less.",1.0,1.0,1.0,1,1.0,1.0,11,11
ad955b99afe0,hybrid_ce,openai-community/gpt2-large,cola,14,4,There were several old rocks songs that she and I were the only two who knew.,There were several old rocks songs that she and I were the only two who knew.,1.0,1.0,1.0,1,1.0,1.0,17,17
ad955b99afe0,hybrid_ce,openai-community/gpt2-large,cola,14,5,Bill's funny story about Sue and Max's boring one about Kathy both amazed me.,Bill's funny story about Sue and Max's boring one about Kathy both amazed me.,1.0,1.0,1.0,1,1.0,1.0,17,17
ad955b99afe0,hybrid_ce,openai-community/gpt2-large,cola,14,6,how mad was Bill made?,how mad was Bill made?,1.0,1.0,1.0,1,1.0,1.0,6,6
ad955b99afe0,hybrid_ce,openai-community/gpt2-large,cola,14,7,Any trouble is what I don't want.,Any trouble is what I don't want.,1.0,1.0,1.0,1,1.0,1.0,9,9
ad955b99afe0,hybrid_ce,openai-community/gpt2-large,cola,15,0,Everything you like is on the table.,Everything you like is on the table.,1.0,1.0,1.0,1,1.0,1.0,8,8
ad955b99afe0,hybrid_ce,openai-community/gpt2-large,cola,15,1,I presented Bill with it to read.,I presented Bill with it to read.,1.0,1.0,1.0,1,1.0,1.0,8,8
ad955b99afe0,hybrid_ce,openai-community/gpt2-large,cola,15,2,There is believed to be sheep in the park.,There is believed to be sheep in the park.,1.0,1.0,1.0,1,1.0,1.0,10,10
ad955b99afe0,hybrid_ce,openai-community/gpt2-large,cola,15,3,John gave Bill the dog dead.,John gave Bill the dog dead.,1.0,1.0,1.0,1,1.0,1.0,7,7
