run_id,attack,model,dataset,input_index,sentence_index,reference,prediction,rouge1_fm,rouge2_fm,rougeL_fm,exact_match,token_acc,padded_token_acc,pred_len,ref_len
5415dc60b605,dager_ce,openai-community/gpt2-large,sst2,0,0,it confirms fincher's status as a film maker who artfully bends technical know-how to the service of psychological insight. ,it confirms,0.17391304347826084,0.09523809523809523,0.17391304347826084,0,0.07692307692307693,0.07692307692307693,2,26
5415dc60b605,dager_ce,openai-community/gpt2-large,sst2,0,1,too much of it feels unfocused and underdeveloped. ,"yes, dull.",0.0,0.0,0.0,0,0.0,0.0,4,11
5415dc60b605,dager_ce,openai-community/gpt2-large,sst2,0,2,a great ensemble cast can't lift this heartfelt enterprise out of the familiar. ,even pulse ensemble cast comedy,0.21052631578947364,0.11764705882352941,0.21052631578947364,0,0.125,0.125,5,16
5415dc60b605,dager_ce,openai-community/gpt2-large,sst2,0,3,"prurient playthings aside, there's little to love about this english trifle. ",pr ` ensemble ca pulse,0.0,0.0,0.0,0,0.05263157894736842,0.05263157894736842,5,19
5415dc60b605,dager_ce,openai-community/gpt2-large,sst2,0,4,"it moves quickly, adroitly, and without fuss ; it doesn't give you time to reflect on the inanity -- and the cold war datedness -- of its premise. ",it ',0.07407407407407407,0.0,0.07407407407407407,0,0.02702702702702703,0.02702702702702703,2,37
5415dc60b605,dager_ce,openai-community/gpt2-large,sst2,0,5,"it proves quite compelling as an intense, brooding character study. ",it ',0.18181818181818182,0.0,0.18181818181818182,0,0.07142857142857142,0.07142857142857142,2,14
5415dc60b605,dager_ce,openai-community/gpt2-large,sst2,0,6,bogdanovich tantalizes by offering a peep show into the lives of the era's creme de la celluloid. ,"b,...",0.0,0.0,0.0,0,0.037037037037037035,0.037037037037037035,2,27
5415dc60b605,dager_ce,openai-community/gpt2-large,sst2,0,7,looks and feels like a project better suited for the small screen. ,"yes, dull.",0.0,0.0,0.0,0,0.0,0.0,4,15
5415dc60b605,dager_ce,openai-community/gpt2-large,sst2,0,8,verbinski implements every hack-artist trick to give us the ooky-spookies. ,verbinski dull,0.14285714285714285,0.0,0.14285714285714285,0,0.1,0.1,3,20
5415dc60b605,dager_ce,openai-community/gpt2-large,sst2,0,9,"this is a good script, good dialogue, funny even for adults. ",this is ensemble,0.28571428571428575,0.16666666666666669,0.28571428571428575,0,0.13333333333333333,0.13333333333333333,3,15
5415dc60b605,dager_ce,openai-community/gpt2-large,sst2,0,10,a painfully funny ode to bad behavior. ,"yes, dull.",0.0,0.0,0.0,0,0.0,0.0,4,10
5415dc60b605,dager_ce,openai-community/gpt2-large,sst2,0,11,"there is a fabric of complex ideas here, and feelings that profoundly deepen them. ",this is ensemble,0.11764705882352941,0.0,0.11764705882352941,0,0.058823529411764705,0.058823529411764705,3,17
5415dc60b605,dager_ce,openai-community/gpt2-large,sst2,0,12,the overall effect is less like a children's movie than a recruitment film for future hollywood sellouts. ,"yes, dull.",0.0,0.0,0.0,0,0.0,0.0,4,22
5415dc60b605,dager_ce,openai-community/gpt2-large,sst2,0,13,"as the two leads, lathan and diggs are charming and have chemistry both as friends and lovers. ",as the lesson,0.2,0.1111111111111111,0.2,0,0.09090909090909091,0.09090909090909091,3,22
5415dc60b605,dager_ce,openai-community/gpt2-large,sst2,0,14,"the title not only describes its main characters, but the lazy people behind the camera as well. ","yes, dull.",0.0,0.0,0.0,0,0.0,0.0,4,20
5415dc60b605,dager_ce,openai-community/gpt2-large,sst2,0,15,zhang... has done an amazing job of getting realistic performances from his mainly nonprofessional cast. ,"yes, dull.",0.0,0.0,0.0,0,0.0,0.0,4,20
5415dc60b605,dager_ce,openai-community/gpt2-large,sst2,0,16,"not only is undercover brother as funny, if not more so, than both austin powers films, but it's also one of the smarter, savvier spoofs to come along in some time. ",not performances camp,0.05714285714285714,0.0,0.05714285714285714,0,0.024390243902439025,0.024390243902439025,3,41
5415dc60b605,dager_ce,openai-community/gpt2-large,sst2,0,17,"beautifully observed, miraculously unsentimental comedy-drama. ",beaut dull fun ensemble ensemble,0.0,0.0,0.0,0,0.06666666666666667,0.06666666666666667,5,15
5415dc60b605,dager_ce,openai-community/gpt2-large,sst2,0,18,"the last 20 minutes are somewhat redeeming, but most of the movie is the same teenage american road-trip drek we've seen before - only this time you have to read the fart jokes ","yes, dull.",0.0,0.0,0.0,0,0.0,0.0,4,41
5415dc60b605,dager_ce,openai-community/gpt2-large,sst2,0,19,if you dig on david mamet's mind tricks... rent this movie and enjoy! ,"yes, dull.",0.0,0.0,0.0,0,0.0,0.0,4,19
5415dc60b605,dager_ce,openai-community/gpt2-large,sst2,0,20,"for all its impressive craftsmanship, and despite an overbearing series of third-act crescendos, lily chou-chou never really builds up a head of emotional steam. ","yes, dull.",0.0,0.0,0.0,0,0.0,0.0,4,40
5415dc60b605,dager_ce,openai-community/gpt2-large,sst2,0,21,"yes, dull. ","yes, dull. ",1.0,1.0,1.0,1,1.0,1.0,5,5
5415dc60b605,dager_ce,openai-community/gpt2-large,sst2,0,22,"shaky close-ups of turkey-on-rolls, stubbly chins, liver spots, red noses and the filmmakers new bobbed do draw easy chuckles but lead nowhere. ","yes, dull.",0.0,0.0,0.0,0,0.0,0.0,4,39
5415dc60b605,dager_ce,openai-community/gpt2-large,sst2,0,23,the second coming of harry potter is a film far superior to its predecessor. ,"yes, dull.",0.0,0.0,0.0,0,0.0,0.0,4,18
5415dc60b605,dager_ce,openai-community/gpt2-large,sst2,0,24,"if you're hard up for raunchy college humor, this is your ticket right here. ","yes, dull.",0.0,0.0,0.0,0,0.0,0.0,4,20
5415dc60b605,dager_ce,openai-community/gpt2-large,sst2,0,25,"nonsensical, dull `` cyber-horror '' flick is a grim, hollow exercise in flat scares and bad acting. ","yes, dull.",0.1111111111111111,0.0,0.1111111111111111,0,0.0,0.0,4,26
