run_id,attack,model,dataset,input_index,sentence_index,reference,prediction,rouge1_fm,rouge2_fm,rougeL_fm,exact_match,token_acc,padded_token_acc,pred_len,ref_len
0bf8b4f2a6ee,dager_ce,gpt2,sst2,0,0,verbinski implements every hack-artist trick to give us the ooky-spookies. ,verbinski implements every hack-artist trick to give us the ooky-spookies. ,1.0,1.0,1.0,1,1.0,1.0,20,20
0bf8b4f2a6ee,dager_ce,gpt2,sst2,0,1,"with rabbit-proof fence, noyce has tailored an epic tale into a lean, economical movie. ","with rabbit-proof fence, noyce has tailored an epic tale into a lean, economical movie. ",1.0,1.0,1.0,1,1.0,1.0,22,22
0bf8b4f2a6ee,dager_ce,gpt2,sst2,0,2,"morton uses her face and her body language to bring us morvern's soul, even though the character is almost completely deadpan. ","morton uses her face and her body language to bring us morvern's soul, even though the character is almost completely deadpan. ",1.0,1.0,1.0,1,1.0,1.0,28,28
0bf8b4f2a6ee,dager_ce,gpt2,sst2,0,3,its well of thorn and vinegar ( and simple humanity ) has long been plundered by similar works featuring the insight and punch this picture so conspicuously lacks. ,its well of thorn and vinegar ( and simple humanity ) has long been plundered by similar works featuring the insight and punch this picture so conspicuously lacks. ,1.0,1.0,1.0,1,1.0,1.0,33,33
0bf8b4f2a6ee,dager_ce,gpt2,sst2,0,4,"the title not only describes its main characters, but the lazy people behind the camera as well. ","the title not only describes its main characters, but the lazy people behind the camera as well. ",1.0,1.0,1.0,1,1.0,1.0,20,20
0bf8b4f2a6ee,dager_ce,gpt2,sst2,0,5,the film will play equally well on both the standard and giant screens. ,the film will play equally well on both the standard and giant screens. ,1.0,1.0,1.0,1,1.0,1.0,15,15
0bf8b4f2a6ee,dager_ce,gpt2,sst2,0,6,villeneuve spends too much time wallowing in bibi's generic angst ( there are a lot of shots of her gazing out windows ). ,villeneuve spends too much time wallowing in bibi's generic angst ( there are a lot of shots of her gazing out windows ). ,1.0,1.0,1.0,1,1.0,1.0,29,29
0bf8b4f2a6ee,dager_ce,gpt2,sst2,0,7,few films capture so perfectly the hopes and dreams of little boys on baseball fields as well as the grown men who sit in the stands. ,few films capture so perfectly the hopes and dreams of little boys on baseball fields as well as the grown men who sit in the stands. ,1.0,1.0,1.0,1,1.0,1.0,28,28
0bf8b4f2a6ee,dager_ce,gpt2,sst2,1,0,the movie achieves as great an impact by keeping these thoughts hidden as... ( quills ) did by showing them. ,the movie achieves as great an impact by keeping these thoughts hidden as... ( quills ) did by showing them. ,1.0,1.0,1.0,1,1.0,1.0,24,24
0bf8b4f2a6ee,dager_ce,gpt2,sst2,1,1,"generally, clockstoppers will fulfill your wildest fantasies about being a different kind of time traveler, while happily killing 94 minutes. ","generally, clockstoppers will fulfill your wildest fantasies about being a different kind of time traveler, while happily killing 94 minutes. ",1.0,1.0,1.0,1,1.0,1.0,28,28
0bf8b4f2a6ee,dager_ce,gpt2,sst2,1,2,"by getting myself wrapped up in the visuals and eccentricities of many of the characters, i found myself confused when it came time to get to the heart of the movie. ","by getting myself wrapped up in the visuals and eccentricities of many of the characters, i found myself confused when it came time to get to the heart of the movie. ",1.0,1.0,1.0,1,1.0,1.0,35,35
0bf8b4f2a6ee,dager_ce,gpt2,sst2,1,3,"thekids will probably stay amused at the kaleidoscope of big, colorful characters. ","thekids will probably stay amused at the kaleidoscope of big, colorful characters. ",1.0,1.0,1.0,1,1.0,1.0,18,18
0bf8b4f2a6ee,dager_ce,gpt2,sst2,1,4,"all that's missing is the spontaneity, originality and delight. ","all that's missing is the spontaneity, originality and delight. ",1.0,1.0,1.0,1,1.0,1.0,16,16
0bf8b4f2a6ee,dager_ce,gpt2,sst2,1,5,"comes off like a rejected abc afterschool special, freshened up by the dunce of a screenwriting 101 class. ","comes off like a rejected abc afterschool special, freshened up by the dunce of a screenwriting 101 class. ",1.0,1.0,1.0,1,1.0,1.0,27,27
0bf8b4f2a6ee,dager_ce,gpt2,sst2,1,6,"this time mr. burns is trying something in the martin scorsese street-realist mode, but his self-regarding sentimentality trips him up again. ","this time mr. burns is trying something in the martin scorsese street-realist mode, but his self-regarding sentimentality trips him up again. ",1.0,1.0,1.0,1,1.0,1.0,36,36
0bf8b4f2a6ee,dager_ce,gpt2,sst2,1,7,a rewarding work of art for only the most patient and challenge-hungry moviegoers. ,a rewarding work of art for only the most patient and challenge-hungry moviegoers. ,1.0,1.0,1.0,1,1.0,1.0,19,19
0bf8b4f2a6ee,dager_ce,gpt2,sst2,2,0,"but taken as a stylish and energetic one-shot, the queen of the damned can not be said to suck. ","but taken as a stylish and energetic one-shot, the queen of the damned can not be said to suck. ",1.0,1.0,1.0,1,1.0,1.0,24,24
0bf8b4f2a6ee,dager_ce,gpt2,sst2,2,1,this isn't even madonna's swept away. ,this isn't even madonna's swept away. ,1.0,1.0,1.0,1,1.0,1.0,11,11
0bf8b4f2a6ee,dager_ce,gpt2,sst2,2,2,overall the film feels like a low-budget tv pilot that could not find a buyer to play it on the tube. ,overall the film feels like a low-budget tv pilot that could not find a buyer to play it on the tube. ,1.0,1.0,1.0,1,1.0,1.0,26,26
0bf8b4f2a6ee,dager_ce,gpt2,sst2,2,3,"it has its moments of swaggering camaraderie, but more often just feels generic, derivative and done to death. ","it has its moments of swaggering camaraderie, but more often just feels generic, derivative and done to death. ",1.0,1.0,1.0,1,1.0,1.0,27,27
0bf8b4f2a6ee,dager_ce,gpt2,sst2,2,4,it's too bad that the helping hand he uses to stir his ingredients is also a heavy one. ,it's too bad that the helping hand he uses to stir his ingredients is also a heavy one. ,1.0,1.0,1.0,1,1.0,1.0,21,21
0bf8b4f2a6ee,dager_ce,gpt2,sst2,2,5,"the film's hackneyed message is not helped by the thin characterizations, nonexistent plot and pretentious visual style. ","the film's hackneyed message is not helped by the thin characterizations, nonexistent plot and pretentious visual style. ",1.0,1.0,1.0,1,1.0,1.0,25,25
0bf8b4f2a6ee,dager_ce,gpt2,sst2,2,6,"even in its most tedious scenes, russian ark is mesmerizing. ","even in its most tedious scenes, russian ark is mesmerizing. ",1.0,1.0,1.0,1,1.0,1.0,16,16
0bf8b4f2a6ee,dager_ce,gpt2,sst2,2,7,the minor figures surrounding ( bobby )... form a gritty urban mosaic. ,the minor figures surrounding ( bobby )... form a gritty urban mosaic. ,1.0,1.0,1.0,1,1.0,1.0,16,16
0bf8b4f2a6ee,dager_ce,gpt2,sst2,3,0,that's a cheat. ,that's a cheat. ,1.0,1.0,1.0,1,1.0,1.0,6,6
0bf8b4f2a6ee,dager_ce,gpt2,sst2,3,1,a bloated gasbag thesis grotesquely impressed by its own gargantuan aura of self-importance... ,a bloated gasbag thesis grotesquely impressed by its own gargantuan aura of self-importance... ,1.0,1.0,1.0,1,1.0,1.0,22,22
0bf8b4f2a6ee,dager_ce,gpt2,sst2,3,2,"not only unfunny, but downright repellent. ","not only unfunny, but downright repellent. ",1.0,1.0,1.0,1,1.0,1.0,12,12
0bf8b4f2a6ee,dager_ce,gpt2,sst2,3,3,"visually imaginative, thematically instructive and thoroughly delightful, it takes us on a roller-coaster ride from innocence to experience without even a hint of that typical kiddie-flick sentimentality. ","visually imaginative, thematically instructive and thoroughly delightful, it takes us on a roller-coaster ride from innocence to experience without even a hint of that typical kiddie-flick sentimentality. ",1.0,1.0,1.0,1,1.0,1.0,43,43
0bf8b4f2a6ee,dager_ce,gpt2,sst2,3,4,there are plot holes big enough for shamu the killer whale to swim through. ,there are plot holes big enough for shamu the killer whale to swim through. ,1.0,1.0,1.0,1,1.0,1.0,17,17
0bf8b4f2a6ee,dager_ce,gpt2,sst2,3,5,so refreshingly incisive is grant that for the first time he 'll probably appeal more to guys than to their girlfriends who drag them to this movie for the hugh factor. ,so refreshingly incisive is grant that for the first time he 'll probably appeal more to guys than to their girlfriends who drag them to this movie for the hugh factor. ,1.0,1.0,1.0,1,1.0,1.0,37,37
0bf8b4f2a6ee,dager_ce,gpt2,sst2,3,6,"the movie is what happens when you blow up small potatoes to 10 times their natural size, and it ain't pretty. ","the movie is what happens when you blow up small potatoes to 10 times their natural size, and it ain't pretty. ",1.0,1.0,1.0,1,1.0,1.0,25,25
0bf8b4f2a6ee,dager_ce,gpt2,sst2,3,7,true tale of courage -- and complicity -- at auschwitz is a harrowing drama that tries to tell of the unspeakable. ,true tale of courage -- and complicity -- at auschwitz is a harrowing drama that tries to tell of the unspeakable. ,1.0,1.0,1.0,1,1.0,1.0,27,27
0bf8b4f2a6ee,dager_ce,gpt2,sst2,4,0,reggio's continual visual barrage is absorbing as well as thought-provoking. ,reggio's continual visual barrage is absorbing as well as thought-provoking. ,1.0,1.0,1.0,1,1.0,1.0,18,18
0bf8b4f2a6ee,dager_ce,gpt2,sst2,4,1,it all adds up to good fun. ,it all adds up to good fun. ,1.0,1.0,1.0,1,1.0,1.0,9,9
0bf8b4f2a6ee,dager_ce,gpt2,sst2,4,2,"birthday girl is an amusing joy ride, with some surprisingly violent moments. ","birthday girl is an amusing joy ride, with some surprisingly violent moments. ",1.0,1.0,1.0,1,1.0,1.0,16,16
0bf8b4f2a6ee,dager_ce,gpt2,sst2,4,3,"this movie is something of an impostor itself, stretching and padding its material in a blur of dead ends and distracting camera work. ","this movie is something of an impostor itself, stretching and padding its material in a blur of dead ends and distracting camera work. ",1.0,1.0,1.0,1,1.0,1.0,28,28
0bf8b4f2a6ee,dager_ce,gpt2,sst2,4,4,"while undisputed isn't exactly a high, it is a gripping, tidy little movie that takes mr. hill higher than he's been in a while. ","while undisputed isn't exactly a high, it is a gripping, tidy little movie that takes mr. hill higher than he's been in a while. ",1.0,1.0,1.0,1,1.0,1.0,33,33
0bf8b4f2a6ee,dager_ce,gpt2,sst2,4,5,"the film contains no good jokes, no good scenes, barely a moment when carvey's saturday night live-honed mimicry rises above the level of embarrassment. ","the film contains no good jokes, no good scenes, barely a moment when carvey's saturday night live-honed mimicry rises above the level of embarrassment. ",1.0,1.0,1.0,1,1.0,1.0,35,35
0bf8b4f2a6ee,dager_ce,gpt2,sst2,4,6,a valueless kiddie paean to pro basketball underwritten by the nba. ,a valueless kiddie paean to pro basketball underwritten by the nba. ,1.0,1.0,1.0,1,1.0,1.0,20,20
0bf8b4f2a6ee,dager_ce,gpt2,sst2,4,7,"but the power of these ( subjects ) is obscured by the majority of the film that shows a stationary camera on a subject that could be mistaken for giving a public oration, rather than contributing to a film's narrative. ","but the power of these ( subjects ) is obscured by the majority of the film that shows a stationary camera on a subject that could be mistaken for giving a public oration, rather than contributing to a film's narrative. ",1.0,1.0,1.0,1,1.0,1.0,45,45
0bf8b4f2a6ee,dager_ce,gpt2,sst2,5,0,"you 'll gasp appalled and laugh outraged and possibly, watching the spectacle of a promising young lad treading desperately in a nasty sea, shed an errant tear. ","you 'll gasp appalled and laugh outraged and possibly, watching the spectacle of a promising young lad treading desperately in a nasty sea, shed an errant tear. ",1.0,1.0,1.0,1,1.0,1.0,34,34
0bf8b4f2a6ee,dager_ce,gpt2,sst2,5,1,scorsese doesn't give us a character worth giving a damn about. ,scorsese doesn't give us a character worth giving a damn about. ,1.0,1.0,1.0,1,1.0,1.0,16,16
0bf8b4f2a6ee,dager_ce,gpt2,sst2,5,2,you will emerge with a clearer view of how the gears of justice grind on and the death report comes to share airtime alongside the farm report. ,you will emerge with a clearer view of how the gears of justice grind on and the death report comes to share airtime alongside the farm report. ,1.0,1.0,1.0,1,1.0,1.0,30,30
0bf8b4f2a6ee,dager_ce,gpt2,sst2,5,3,too much of it feels unfocused and underdeveloped. ,too much of it feels unfocused and underdeveloped. ,1.0,1.0,1.0,1,1.0,1.0,11,11
0bf8b4f2a6ee,dager_ce,gpt2,sst2,5,4,one of the most significant moviegoing pleasures of the year. ,one of the most significant moviegoing pleasures of the year. ,1.0,1.0,1.0,1,1.0,1.0,13,13
0bf8b4f2a6ee,dager_ce,gpt2,sst2,5,5,"aside from minor tinkering, this is the same movie you probably loved in 1994, except that it looks even better. ","aside from minor tinkering, this is the same movie you probably loved in 1994, except that it looks even better. ",1.0,1.0,1.0,1,1.0,1.0,26,26
0bf8b4f2a6ee,dager_ce,gpt2,sst2,5,6,the chateau cleverly probes the cross-cultural differences between gauls and yanks. ,the chateau cleverly probes the cross-cultural differences between gauls and yanks. ,1.0,1.0,1.0,1,1.0,1.0,21,21
0bf8b4f2a6ee,dager_ce,gpt2,sst2,5,7,i can take infantile humor... but this is the sort of infantile that makes you wonder about changing the director and writer's diapers. ,i can take infantile humor... but this is the sort of infantile that makes you wonder about changing the director and writer's diapers. ,1.0,1.0,1.0,1,1.0,1.0,29,29
0bf8b4f2a6ee,dager_ce,gpt2,sst2,6,0,"pumpkin takes an admirable look at the hypocrisy of political correctness, but it does so with such an uneven tone that you never know when humor ends and tragedy begins. ","pumpkin takes an admirable look at the hypocrisy of political correctness, but it does so with such an uneven tone that you never know when humor ends and tragedy begins. ",1.0,1.0,1.0,1,1.0,1.0,35,35
0bf8b4f2a6ee,dager_ce,gpt2,sst2,6,1,"in all, this is a watchable movie that's not quite the memorable experience it might have been. ","in all, this is a watchable movie that's not quite the memorable experience it might have been. ",1.0,1.0,1.0,1,1.0,1.0,22,22
0bf8b4f2a6ee,dager_ce,gpt2,sst2,6,2,they should have called it gutterball. ,they should have called it gutterball. ,1.0,1.0,1.0,1,1.0,1.0,10,10
0bf8b4f2a6ee,dager_ce,gpt2,sst2,6,3,"a tender, witty, captivating film about friendship, love, memory, trust and loyalty. ","a tender, witty, captivating film about friendship, love, memory, trust and loyalty. ",1.0,1.0,1.0,1,1.0,1.0,20,20
0bf8b4f2a6ee,dager_ce,gpt2,sst2,6,4,american chai encourages rueful laughter at stereotypes only an indian-american would recognize. ,american chai encourages rueful laughter at stereotypes only an indian-american would recognize. ,1.0,1.0,1.0,1,1.0,1.0,22,22
0bf8b4f2a6ee,dager_ce,gpt2,sst2,6,5,"because of an unnecessary and clumsy last scene, ` swimfan'left me with a very bad feeling. ","because of an unnecessary and clumsy last scene, ` swimfan'left me with a very bad feeling. ",1.0,1.0,1.0,1,1.0,1.0,22,22
0bf8b4f2a6ee,dager_ce,gpt2,sst2,6,6,"it showcases carvey's talent for voices, but not nearly enough and not without taxing every drop of one's patience to get to the good stuff. ","it showcases carvey's talent for voices, but not nearly enough and not without taxing every drop of one's patience to get to the good stuff. ",1.0,1.0,1.0,1,1.0,1.0,31,31
0bf8b4f2a6ee,dager_ce,gpt2,sst2,6,7,"a cartoon that's truly cinematic in scope, and a story that's compelling and heartfelt -- even if the heart belongs to a big, four-legged herbivore. ","a cartoon that's truly cinematic in scope, and a story that's compelling and heartfelt -- even if the heart belongs to a big, four-legged herbivore. ",1.0,1.0,1.0,1,1.0,1.0,35,35
0bf8b4f2a6ee,dager_ce,gpt2,sst2,7,0,an exquisitely crafted and acted tale. ,an exquisitely crafted and acted tale. ,1.0,1.0,1.0,1,1.0,1.0,10,10
0bf8b4f2a6ee,dager_ce,gpt2,sst2,7,1,"highbrow self-appointed guardians of culture need not apply, but those who loved cool as ice have at last found a worthy follow-up. ","highbrow self-appointed guardians of culture need not apply, but those who loved cool as ice have at last found a worthy follow-up. ",1.0,1.0,1.0,1,1.0,1.0,30,30
0bf8b4f2a6ee,dager_ce,gpt2,sst2,7,2,"although huppert's intensity and focus has a raw exhilaration about it, the piano teacher is anything but fun. ","although huppert's intensity and focus has a raw exhilaration about it, the piano teacher is anything but fun. ",1.0,1.0,1.0,1,1.0,1.0,25,25
0bf8b4f2a6ee,dager_ce,gpt2,sst2,7,3,"instead of hiding pinocchio from critics, miramax should have hidden it from everyone. ","instead of hiding pinocchio from critics, miramax should have hidden it from everyone. ",1.0,1.0,1.0,1,1.0,1.0,20,20
0bf8b4f2a6ee,dager_ce,gpt2,sst2,7,4,a sequence of ridiculous shoot - 'em - up scenes. ,a sequence of ridiculous shoot - 'em - up scenes. ,1.0,1.0,1.0,1,1.0,1.0,13,13
0bf8b4f2a6ee,dager_ce,gpt2,sst2,7,5,"with tightly organized efficiency, numerous flashbacks and a constant edge of tension, miller's film is one of 2002's involvingly adult surprises. ","with tightly organized efficiency, numerous flashbacks and a constant edge of tension, miller's film is one of 2002's involvingly adult surprises. ",1.0,1.0,1.0,1,1.0,1.0,29,29
