run_id,attack,model,dataset,input_index,num_sentences,joined_reference,joined_prediction,reconstruction_time_sec,rouge1_fm,rouge2_fm,rougeL_fm,exact_match,token_acc,padded_token_acc,pred_len,ref_len
f58df7262ce2,dager_ce,gpt2,rotten_tomatoes,0,8,"awkward but sincere and, ultimately, it wins you over. a refreshing change from the usual whoopee-cushion effort aimed at the youth market. all comedy is subversive, but this unrelenting bleak insistence on opting out of any opportunity for finding meaning in relationships or work just becomes sad. it follows the blair witch formula for an hour, in which we're told something creepy and vague is in the works, and then it goes awry in the final 30 minutes. you see robin williams and psycho killer, and you think, hmmmmm. you see the movie and you think, zzzzzzzzz. violent, vulgar and forgettably entertaining. the irwins emerge unscathed, but the fictional footage is unconvincing and criminally badly acted. some of the visual flourishes are a little too obvious, but restrained and subtle storytelling, and fine performances make this delicate coming-of-age tale a treat.","awkward but sincere and, ultimately, it wins you over. a refreshing change from the usual whoopee-cushion effort aimed at the youth market. all comedy is subversive, but this unrelenting bleak insistence on opting out of any opportunity for finding meaning in relationships or work just becomes sad. it follows the blair witch formula for an hour, in which we're told something creepy and vague is in the works, and then it goes awry in the final 30 minutes. you see robin williams and psycho killer, and you think, hmmmmm. you see the movie and you think, zzzzzzzzz. violent, vulgar and forgettably entertaining. the irwins emerge unscathed, but the fictional footage is unconvincing and criminally badly acted. some of the visual flourishes are a little too obvious, but restrained and subtle storytelling, and fine performances make this delicate coming-of-age tale a treat.",11.594478368759155,1.0,1.0,1.0,1,1.0,1.0,195,195
f58df7262ce2,dager_ce,gpt2,rotten_tomatoes,1,8,"a very well-meaning movie, and it will stand in future years as an eloquent memorial to the world trade center tragedy. although the film boils down to a lightweight story about matchmaking, the characters make italian for beginners worth the journey becomes the last thing you would expect from a film with this title or indeed from any plympton film : boring. for anyone who remembers the '60s or is interested in one man's response to stroke, ram dass : fierce grace is worth seeking out. this is a movie so insecure about its capacity to excite that it churns up not one but two flagrantly fake thunderstorms to underscore the action. stale first act, scrooge story, blatant product placement, some very good comedic songs, strong finish, dumb fart jokes. cut through the layers of soap-opera emotion and you find a scathing portrayal of a powerful entity strangling the life out of the people who want to believe in it the most. some movies are like a tasty hors-d'oeuvre ; this one is a feast.","a very well-meaning movie, and it will stand in future years as an eloquent memorial to the world trade center tragedy. although the film boils down to a lightweight story about matchmaking, the characters make italian for beginners worth the journey becomes the last thing you would expect from a film with this title or indeed from any plympton film : boring. for anyone who remembers the '60s or is interested in one man's response to stroke, ram dass : fierce grace is worth seeking out. this is a movie so insecure about its capacity to excite that it churns up not one but two flagrantly fake thunderstorms to underscore the action. stale first act, scrooge story, blatant product placement, some very good comedic songs, strong finish, dumb fart jokes. cut through the layers of soap-opera emotion and you find a scathing portrayal of a powerful entity strangling the life out of the people who want to believe in it the most. some movies are like a tasty hors-d'oeuvre ; this one is a feast.",11.535446882247925,1.0,1.0,1.0,1,1.0,1.0,217,217
f58df7262ce2,dager_ce,gpt2,rotten_tomatoes,2,8,"diaz wears out her welcome in her most charmless performance on its own staggeringly unoriginal terms, this gender-bending comedy is generally quite funny. astonishing... [frames] profound ethical and philosophical questions in the form of dazzling pop entertainment. the filmmakers are playing to the big boys in new york and l. a. to that end, they mock the kind of folks they don't understand, ones they figure the power-lunchers don't care to understand, either. an artful yet depressing film that makes a melodramatic mountain out of the molehill of a missing bike. a grim, flat and boring werewolf movie that refuses to develop an energy level. it's a film with an idea buried somewhere inside its fabric, but never clearly seen or felt. while general audiences might not come away with a greater knowledge of the facts of cuban music, they'll be treated to an impressive and highly entertaining celebration of its sounds.","diaz wears astonishing... [frames] profound ethical and philosophical questions in the form of dazzling pop entertainment. astonishing... [frames] profound ethical and philosophical questions in the form of dazzling pop entertainment. the filmmakers an art a grim, flat and boring werewolf movie an art astonishing... [frames] profound ethical and philosophical questions in the form of dazzling pop entertainment.",9.975386619567871,0.3255813953488372,0.20657276995305163,0.2883720930232558,0,0.02072538860103627,0.02072538860103627,72,193
f58df7262ce2,dager_ce,gpt2,rotten_tomatoes,3,8,"we get light showers of emotion a couple of times, but then -- strangely -- these wane to an inconsistent and ultimately unsatisfying drizzle. if you want a movie time trip, the 1960 version is a far smoother ride. sandra bullock's best dramatic performance to date ( is ) almost enough to lift ( this ) thrill-kill cat-and-mouser... above its paint-by-numbers plot. not only a coming-of-age story and cautionary parable, but also a perfectly rendered period piece. i don't think this movie loves women at all. it sends you away a believer again and quite cheered at just that. it suggests the wide-ranging effects of media manipulation, from the kind of reporting that is done by the supposedly liberal media... to the intimate and ultimately tragic heartache of maverick individuals like hatfield and hicks. as animation increasingly emphasizes the computer and the cool, this is a film that takes a stand in favor of tradition and warmth.","we get light showers of emotion a couple of times, but then -- strangely -- these wane to an inconsistent and ultimately unsatisfying drizzle. if you want a movie time trip, the 1960 version is a far smoother ride. sandra bullock's best dramatic performance to date ( is ) almost enough to lift ( this ) thrill-kill cat-and-mouser... above its paint-by-numbers plot. not only a coming-of-age story and cautionary parable, but also a perfectly rendered period piece. i don't think this movie loves women at all. it sends you away a believer again and quite cheered at just that. it suggests the wide-ranging effects of media manipulation, from the kind of reporting that is done by the supposedly liberal media... to the intimate and ultimately tragic heartache of maverick individuals like hatfield and hicks. as animation increasingly emphasizes the computer and the cool, this is a film that takes a stand in favor of tradition and warmth.",11.315313816070557,1.0,1.0,1.0,1,1.0,1.0,205,205
f58df7262ce2,dager_ce,gpt2,rotten_tomatoes,4,8,"inherently caustic and oddly whimsical, the film chimes in on the grieving process and strangely draws the audience into the unexplainable pain and eccentricities that are attached to the concept of loss. i spied with my little eye... a mediocre collection of cookie-cutter action scenes and occasionally inspired dialogue bits consists of a plot and jokes done too often by people far more talented than ali g if there's no art here, it's still a good yarn -- which is nothing to sneeze at these days. instead of trying to bust some blondes, [diggs] should be probing why a guy with his talent ended up in a movie this bad. ... does such a fine job of engulfing you in its world and allying you with its characters' choices, good and ill, that its shortcomings are remembered only as an afterthought. what's most refreshing about real women have curves is its unforced comedy-drama and its relaxed, natural-seeming actors. a gorgeous, somnolent show that is splendidly mummified and thoroughly unsurprising.","inherently caustic and oddly whimsical, the film chimes in on the grieving process and strangely draws the audience into the unexplainable pain and eccentricities that are attached to the concept of loss. i spied with my little eye... a mediocre collection of cookie-cutter action scenes and occasionally inspired dialogue bits consists of a plot and jokes done too often by people far more talented than ali g if there's no art here, it's still a good yarn -- which is nothing to sneeze at these days. instead of trying to bust some blondes, [diggs] should be probing why a guy with his talent ended up in a movie this bad. ... does such a fine job of engulfing you in its world and allying you with its characters' choices, good and ill, that its shortcomings are remembered only as an afterthought. what's most refreshing about real women have curves is its unforced comedy-drama and its relaxed, natural-seeming actors. a gorgeous, somnolent show that is splendidly mummified and thoroughly unsurprising.",11.305731058120728,1.0,1.0,1.0,1,1.0,1.0,223,223
f58df7262ce2,dager_ce,gpt2,rotten_tomatoes,5,8,"the screenplay by james eric, james horton and director peter o'fallon... is so pat it makes your teeth hurt. it turns out to be smarter and more diabolical than you could have guessed at the beginning. the cast is phenomenal, especially the women. if there was ever a movie where the upbeat ending feels like a copout, this is the one. there's something fishy about a seasonal holiday kids' movie... that derives its moment of most convincing emotional gravity from a scene where santa gives gifts to grownups. a 94-minute travesty of unparalleled proportions, writer-director parker seems to go out of his way to turn the legendary wit's classic mistaken identity farce into brutally labored and unfunny hokum. it has the charm of the original american road movies, feasting on the gorgeous, ramshackle landscape of the filmmaker's motherland. john mctiernan's botched remake may be subtler than norman jewison's 1975 ultraviolent futuristic corporate-sports saga. it's also stupider.","the screenplay by james eric, james horton and director peter o'fallon... is so pat it makes your teeth hurt. it turns out to be smarter and more diabolical than you could have guessed at the beginning. the cast is phenomenal, especially the women. if there was ever a movie where the upbeat ending feels like a copout, this is the one. there's something fishy about a seasonal holiday kids' movie... that derives its moment of most convincing emotional gravity from a scene where santa gives gifts to grownups. a 94-minute travesty of unparalleled proportions, writer-director parker seems to go out of his way to turn the legendary wit's classic mistaken identity farce into brutally labored and unfunny hokum. it has the charm of the original american road movies, feasting on the gorgeous, ramshackle landscape of the filmmaker's motherland. john mctiernan's botched remake may be subtler than norman jewison's 1975 ultraviolent futuristic corporate-sports saga. it's also stupider.",11.379745721817017,1.0,1.0,1.0,1,1.0,1.0,225,225
f58df7262ce2,dager_ce,gpt2,rotten_tomatoes,6,8,"it believes it's revealing some great human truths, when, in reality, it's churning ground that has long passed the point of being fertile. our culture is headed down the toilet with the ferocity of a frozen burrito after an all-night tequila bender  and i know this because i've seen 'jackass : the movie. ' a different and emotionally reserved type of survival story -- a film less about refracting all of world war ii through the specific conditions of one man, and more about that man lost in its midst. this dramatically shaky contest of wills only reiterates the old hollywood saw : evil is interesting and good is boring. the picture's fascinating byways are littered with trenchant satirical jabs at the peculiar egocentricities of the acting breed. an uncluttered, resonant gem that relays its universal points without lectures or confrontations. daughter from danang reveals that efforts toward closure only open new wounds. it doesn't flinch from its unsettling prognosis, namely, that the legacy of war is a kind of perpetual pain. not only is it a charming, funny and beautifully crafted import, it uses very little dialogue, making it relatively effortless to read and follow the action at the same time.","it believes it's revealing some great human truths, when, in reality, it's churning ground that has long passed the point of being fertile. our culture is headed down the toilet with the ferocity of a frozen burrito after an all-night tequila bender  and i know this because i've seen 'jackass : the movie. ' a different and emotionally reserved type of survival story -- a film less about refracting all of world war ii through the specific conditions of one man, and more about that man lost in its midst. this dramatically shaky contest of wills only reiterates the old hollywood saw : evil is interesting and good is boring. the picture's fascinating byways are littered with trenchant satirical jabs at the peculiar egocentricities of the acting breed. an uncluttered, resonant gem that relays its universal points without lectures or confrontations. daughter from danang reveals that efforts toward closure only open new wounds. it doesn't flinch from its unsettling prognosis, namely, that the legacy of war is a kind of perpetual pain. not only is it a charming, funny and beautifully crafted import, it uses very little dialogue, making it relatively effortless to read and follow the action at the same time.",12.178641319274902,1.0,1.0,1.0,1,1.0,1.0,256,256
f58df7262ce2,dager_ce,gpt2,rotten_tomatoes,7,8,"despite besson's high-profile name being wasabi's big selling point, there is no doubt that krawczyk deserves a huge amount of the credit for the film's thoroughly winning tone. despite what anyone believes about the goal of its makers, the show... represents a spectacular piece of theater, and there's no denying the talent of the creative forces behind it. until ( the ) superfluous... epilogue that leaks suspension of disbelief like a sieve, die another day is as stimulating & heart-rate-raising as any james bond thriller. the action switches between past and present, but the material link is too tenuous to anchor the emotional connections that purport to span a 125-year divide. you will likely prefer to keep on watching. this concoction, so bizarre to the adult mind, is actually a charming triumph where its intended under-12 audience is concerned. [a] soulless, stupid sequel... '... both hokey and super-cool, and definitely not in a hurry, so sit back, relax and have a few laughs while the little ones get a fuzzy treat. '","despite besson's high-profile name being wasabi's big selling point, there is no doubt that krawczyk deserves a huge amount of the credit for the film's thoroughly winning tone. despite what anyone believes about the goal of its makers, the show... represents a spectacular piece of theater, and there's no denying the talent of the creative forces behind it. until ( the ) superfluous... epilogue that leaks suspension of disbelief like a sieve, die another day is as stimulating & heart-rate-raising as any james bond thriller. the action switches between past and present, but the material link is too tenuous to anchor the emotional connections that purport to span a 125-year divide. you will likely prefer to keep on watching. this concoction, so bizarre to the adult mind, is actually a charming triumph where its intended under-12 audience is concerned. [a] soulless, stupid sequel... '... both hokey and super-cool, and definitely not in a hurry, so sit back, relax and have a few laughs while the little ones get a fuzzy treat. '",11.772268772125244,1.0,1.0,1.0,1,1.0,1.0,229,229
f58df7262ce2,dager_ce,gpt2,rotten_tomatoes,8,8,"crackerjack entertainment -- nonstop romance, music, suspense and action. becomes a bit of a mishmash : a tearjerker that doesn't and a thriller that won't. it's funny and human and really pretty damned wonderful, all at once. as pedestrian as they come. a sudsy cautionary tale. this is the case of a pregnant premise being wasted by a script that takes few chances and manages to insult the intelligence of everyone in the audience. biggie and tupac is so single-mindedly daring, it puts far more polished documentaries to shame. a droll, bitchy frolic which pokes fun at the price of popularity and small-town pretension in the lone star state.","crackerjack entertainment -- nonstop romance, music, suspense and action. becomes a bit of a mishmash : a tearjerker that doesn't and a thriller that won't. it's funny and human and really pretty damned wonderful, all at once. as pedestrian as they come. a sudsy cautionary tale. this is the case of a pregnant premise being wasted by a script that takes few chances and manages to insult the intelligence of everyone in the audience. biggie and tupac is so single-mindedly daring, it puts far more polished documentaries to shame. a droll, bitchy frolic which pokes fun at the price of popularity and small-town pretension in the lone star state.",10.083961963653564,1.0,1.0,1.0,1,1.0,1.0,148,148
f58df7262ce2,dager_ce,gpt2,rotten_tomatoes,9,8,"diane lane's sophisticated performance can't rescue adrian lyne's unfaithful from its sleazy moralizing. lástima por schwarzenegger, pero es hora de que deje la estafeta a las nuevas generaciones. that 'alabama' manages to be pleasant in spite of its predictability and occasional slowness is due primarily to the perkiness of witherspoon ( who is always a joy to watch, even when her material is not first-rate )... schneidermeister... makin' a fool of himself... losin' his fan base... complete lack of originality, cleverness or even visible effort an engrossing portrait of uncompromising artists trying to create something original against the backdrop of a corporate music industry that only seems to care about the bottom line. a wild ride juiced with enough energy and excitement for at least three films. daringly perceptive, taut, piercing and feisty, biggie and tupac is undeniably subversive and involving in its bold presentation.","diane lane's sophisticated performance can't rescue adrian lyne's unfaithful from its sleazy moralizing. lástima por schwarzenegger, pero es hora de que deje la estafeta a las nuevas generaciones. that 'alabama' manages to be pleasant in spite of its predictability and occasional slowness is due primarily to the perkiness of witherspoon ( who is always a joy to watch, even when her material is not first-rate )... schneidermeister... makin' a fool of himself... losin' his fan base... complete lack of originality, cleverness or even visible effort an engrossing portrait of uncompromising artists trying to create something original against the backdrop of a corporate music industry that only seems to care about the bottom line. a wild ride juiced with enough energy and excitement for at least three films. daringly perceptive, taut, piercing and feisty, biggie and tupac is undeniably subversive and involving in its bold presentation.",11.924060344696045,1.0,1.0,1.0,1,1.0,1.0,220,220
f58df7262ce2,dager_ce,gpt2,rotten_tomatoes,10,8,"the characters... are paper-thin, and their personalities undergo radical changes when it suits the script. brims with passion : for words, for its eccentric, accident-prone characters, and for the crazy things that keep people going in this crazy life. karmen moves like rhythm itself, her lips chanting to the beat, her long, braided hair doing little to wipe away the jeweled beads of sweat. the first fatal attraction was vile enough. do we really need the tiger beat version? the concept is a hoot. the trailer is a riot. the movie is a dud. gooding and coburn are both oscar winners, a fact which, as you watch them clumsily mugging their way through snow dogs, seems inconceivable. unfolds in a series of achronological vignettes whose cumulative effect is chilling. brosnan's finest non-bondish performance yet fails to overcome the film's manipulative sentimentality and annoying stereotypes.","the characters... are paper-thin, and their personalities undergo radical changes when it suits the script. brims with passion : for words, for its eccentric, accident-prone characters, and for the crazy things that keep people going in this crazy life. karmen moves like rhythm itself, her lips chanting to the beat, her long, braided hair doing little to wipe away the jeweled beads of sweat. the first fatal attraction was vile enough. do we really need the tiger beat version? the concept is a hoot. the trailer is a riot. the movie is a dud. gooding and coburn are both oscar winners, a fact which, as you watch them clumsily mugging their way through snow dogs, seems inconceivable. unfolds in a series of achronological vignettes whose cumulative effect is chilling. brosnan's finest non-bondish performance yet fails to overcome the film's manipulative sentimentality and annoying stereotypes.",11.057615756988525,1.0,1.0,1.0,1,1.0,1.0,197,197
f58df7262ce2,dager_ce,gpt2,rotten_tomatoes,11,8,"overall, it's a very entertaining, thought-provoking film with a simple message : god is love. if the real-life story is genuinely inspirational, the movie stirs us as well. smith finds amusing juxtapositions that justify his exercise. the limited sets and small confined and dark spaces also are homages to a classic low-budget film noir movie. serving sara doesn't serve up a whole lot of laughs. director kevin bray excels in breaking glass and marking off the "" miami vice "" checklist of power boats, latin music and dog tracks. he doesn't, however, deliver nearly enough of the show's trademark style and flash. a live-action cartoon, a fast-moving and cheerfully simplistic 88 minutes of exaggerated action put together with the preteen boy in mind. no better or worse than 'truth or consequences, n. m.'or any other interchangeable actioner with imbecilic mafia toolbags botching a routine assignment in a western backwater.","overall, it's a very entertaining, thought-provoking film with a simple message : god is love. if the real-life story is genuinely inspirational, the movie stirs us as well. smith finds amusing juxtapositions that justify his exercise. the limited sets and small confined and dark spaces also are homages to a classic low-budget film noir movie. serving sara doesn't serve up a whole lot of laughs. director kevin bray excels in breaking glass and marking off the "" miami vice "" checklist of power boats, latin music and dog tracks. he doesn't, however, deliver nearly enough of the show's trademark style and flash. a live-action cartoon, a fast-moving and cheerfully simplistic 88 minutes of exaggerated action put together with the preteen boy in mind. no better or worse than 'truth or consequences, n. m.'or any other interchangeable actioner with imbecilic mafia toolbags botching a routine assignment in a western backwater.",11.31560730934143,1.0,1.0,1.0,1,1.0,1.0,206,206
f58df7262ce2,dager_ce,gpt2,rotten_tomatoes,12,8,"naipaul fans may be disappointed. those who are not acquainted with the author's work, on the other hand, may fall fast asleep. may not have generated many sparks, but with his affection for astoria and its people he has given his tale a warm glow. an old-fashioned scary movie, one that relies on lingering terror punctuated by sudden shocks and not constant bloodshed punctuated by flying guts. an involving, inspirational drama that sometimes falls prey to its sob-story trappings. a terrifically entertaining specimen of spielbergian sci-fi. it's a glorious groove that leaves you wanting more. presents a good case while failing to provide a reason for us to care beyond the very basic dictums of human decency. throughout, mr. audiard's direction is fluid and quick.","naipaul fans may be disappointed. those who are not acquainted with the author's work, on the other hand, may fall fast asleep. may not have generated many sparks, but with his affection for astoria and its people he has given his tale a warm glow. an old-fashioned scary movie, one that relies on lingering terror punctuated by sudden shocks and not constant bloodshed punctuated by flying guts. an involving, inspirational drama that sometimes falls prey to its sob-story trappings. a terrifically entertaining specimen of spielbergian sci-fi. it's a glorious groove that leaves you wanting more. presents a good case while failing to provide a reason for us to care beyond the very basic dictums of human decency. throughout, mr. audiard's direction is fluid and quick.",10.535311222076416,1.0,1.0,1.0,1,1.0,1.0,163,163
