run_id,attack,model,dataset,input_index,num_sentences,joined_reference,joined_prediction,reconstruction_time_sec,rouge1_fm,rouge2_fm,rougeL_fm,exact_match,token_acc,padded_token_acc,pred_len,ref_len
deeac7916cf7,hybrid_ce,gpt2,cola,0,8,John made Bill master of himself. John will rain tomorrow. I served leek soup to my guests. We created a monster. Either Sam plays the bassoon or Jekyll the oboe. there is nothing to do. Sandy had read how many papers?! I don't know if I should agree.,John made Bill master of himself. John will rain tomorrow. I served leek soup to my guests. We created a monster. Either Sam plays the bassoon or Jekyll the oboe. there is nothing to do. Sandy had read how many papers?! I don't know if I should agree.,12.267210960388184,1.0,1.0,1.0,1,1.0,1.0,62,62
deeac7916cf7,hybrid_ce,gpt2,cola,1,8,"The defendants denies the allegation. I know that Meg's attracted to Harry, but they don't know who. It was a brand new car that he bought. Nora sent Peter the book. Tom will smoke the grass, and Reuben has the hash. Chris was handed Sandy a note. Students studying English reads Conrad's Heart of Darkness while at university. Phillip gave the medal to the soldier.","The defendants denies the allegation. I know that Meg's attracted to Harry, but they don't know who. It was a brand new car that he bought. Nora sent Peter the book. Tom will smoke the grass, and Reuben has the hash. Chris was handed Sandy a note. Students studying English reads Conrad's Heart of Darkness while at university. Phillip gave the medal to the soldier.",11.316227436065674,1.0,1.0,1.0,1,1.0,1.0,79,79
deeac7916cf7,hybrid_ce,gpt2,cola,2,8,"Most columnists claim that a senior White House official has been briefing them, but none will reveal which one. Nobody told Susan about herself. That is the reason why he resigned. I borrowed Fred's diagram of a snake's eye because Steve's had been stolen. Anson demonized up the Khyber The tub leaked water. I inquired when could we leave. The crocodile devoured the doughnut.","Most columnists claim that a senior White House official has been briefing them, but none will reveal which one. Nobody told Susan about herself. That is the reason why he resigned. I borrowed Fred's diagram of a snake's eye because Steve's had been stolen. Anson demonized up the Khyber The tub leaked water. I inquired when could we leave. The crocodile devoured the doughnut.",11.543564319610596,1.0,1.0,1.0,1,1.0,1.0,83,83
deeac7916cf7,hybrid_ce,gpt2,cola,3,8,Sandra beamed a cheerful welcome. Bill's funny story about Sue and Max's boring one about Kathy both amazed me. I drank some of water. The bread cuts easily. Many people were fond of Pat. Colin asked if they could get a mortgage. Something happened I couldn't really talk about. The defendant deny the allegation.,Sandra beamed a cheerful welcome. Bill's funny story about Sue and Max's boring one about Kathy both amazed me. I drank some of water. The bread cuts easily. Many people were fond of Pat. Colin asked if they could get a mortgage. Something happened I couldn't really talk about. The defendant deny the allegation.,11.360285758972168,1.0,1.0,1.0,1,1.0,1.0,67,67
deeac7916cf7,hybrid_ce,gpt2,cola,4,8,"Tabs were kept on each agent by the other. Chocolate eggs were hidden from every child by his mother. I noticed the. Though he may hate those that criticize Carter, it doesn't matter. We donated wire for the convicts to build cages with. After reading the pamphlet, Judy threw it into the garbage can. The newspaper has reported that they are about to appoint someone, but I can't remember who the newspaper has reported that they are about to appoint. Cohen proved the independence of the continuum hypothesis.","Tabs were kept on each agent by the other. Chocolate eggs were hidden from every child by his mother. I noticed the. Though he may hate those that criticize Carter, it doesn't matter. We donated wire for the convicts to build cages with. After reading the pamphlet, Judy threw it into the garbage can. The newspaper has reported that they are about to appoint someone, but I can't remember who the newspaper has reported that they are about to appoint. Cohen proved the independence of the continuum hypothesis.",12.12248682975769,1.0,1.0,1.0,1,1.0,1.0,103,103
deeac7916cf7,hybrid_ce,gpt2,cola,5,8,"Susan frightens her. I talked to Winston about himself. Chocolate eggs were hidden from each other by the children. A pilot could be flying this plane. He let the cats which were whining out. Bill's story about Sue may be amazing, but Max's is virtually incredible. We offered a job to her. I know which book Mag read, and which book Bob said that you hadn't.","Susan frightens her. I talked to Winston about himself. Chocolate eggs were hidden from each other by the children. A pilot could be flying this plane. He let the cats which were whining out. Bill's story about Sue may be amazing, but Max's is virtually incredible. We offered a job to her. I know which book Mag read, and which book Bob said that you hadn't.",11.263469219207764,1.0,1.0,1.0,1,1.0,1.0,80,80
deeac7916cf7,hybrid_ce,gpt2,cola,6,8,"The bills passed by the House yesterday that we objected to were vetoed. I want that Bill left to remain a secret. I wondered who Medea had poisoned. Who do you think Tom saw? It was from six to nine or it took place from six to nine. We put the pigs in a pen. I can't believe Fred won't, either. John considers Bill silly.","The bills passed by the House yesterday that we objected to were vetoed. I want that Bill left to remain a secret. I wondered who Medea had poisoned. Who do you think Tom saw? It was from six to nine or it took place from six to nine. We put the pigs in a pen. I can't believe Fred won't, either. John considers Bill silly.",11.464458703994751,1.0,1.0,1.0,1,1.0,1.0,77,77
deeac7916cf7,hybrid_ce,gpt2,cola,7,8,"Newsweek appeared on the newsstands. I believe there to be no way out. We forgot our invitations. John was struck as sick. Mary was respected by John. The more Fred is obnoxious, the less attention you should pay to him. The bucket was kicked by Pat. Vote for you!","Newsweek appeared on the newsstands. I believe there to be no way out. We forgot our invitations. John was struck as sick. Mary was respected by John. The more Fred is obnoxious, the less attention you should pay to him. The bucket was kicked by Pat. Vote for you!",11.20496416091919,1.0,1.0,1.0,1,1.0,1.0,61,61
deeac7916cf7,hybrid_ce,gpt2,cola,8,8,John has a fear of dogs. It's Anson that I like We gave us presents. A wonderful opportunity presented itself to him yesterday. This dogs barked. Cynthia nibbled on the carrot. It is to give up to leave. I like the book which you gave me.,John has a fear of dogs. It's Anson that I like We gave us presents. A wonderful opportunity presented itself to him yesterday. This dogs barked. Cynthia nibbled on the carrot. It is to give up to leave. I like the book which you gave me.,11.062780141830444,1.0,1.0,1.0,1,1.0,1.0,57,57
deeac7916cf7,hybrid_ce,gpt2,cola,9,8,"Janet broke the cup. We celebrated in the streets. Cynthia chewed. These cars drive easily. The fort fluttered with many flags. The children amused. Which boy's did we elect guardian's employer president? They love to play golf, but I do not.","Janet broke the cup. We celebrated in the streets. Cynthia chewed. These cars drive easily. The fort fluttered with many flags. The children amused. Which boy's did we elect guardian's employer president? They love to play golf, but I do not.",11.084117889404297,1.0,1.0,1.0,1,1.0,1.0,55,55
deeac7916cf7,hybrid_ce,gpt2,cola,10,8,"This is my favorite. They realised that never had Sir Thomas been so offended. I live at the place where Route 150 crosses the River and my dad lives at the place where Route 150 crosses the Hudson River too. I know that Meg's attracted to Harry, but they don't know who. Leslie used a pen. The birds gives the worm a tug. The voices echoed in the hall. John offers many advice.","This is my favorite. They realised that never had Sir Thomas been so offended. I live at the place where Route 150 crosses the River and my dad lives at the place where Route 150 crosses the Hudson River too. I know that Meg's attracted to Harry, but they don't know who. Leslie used a pen. The birds gives the worm a tug. The voices echoed in the hall. John offers many advice.",11.576911926269531,1.0,1.0,1.0,1,1.0,1.0,84,84
deeac7916cf7,hybrid_ce,gpt2,cola,11,8,"Drowning cats, which is against the law, are hard to rescue. A student who to talk to us just walked in. We talked to them about there. The candidates bring advantage to the voters. I dislike the people in whose house we stayed. In which way is Clinton anxious to find out which budget dilemmas Panetta would be willing to solve? There is a monster in Loch Ness. the baker from whom I bought these bagels left.","Drowning cats, which is against the law, are hard to rescue. A student who to talk to us just walked in. We talked to them about there. The candidates bring advantage to the voters. I dislike the people in whose house we stayed. In which way is Clinton anxious to find out which budget dilemmas Panetta would be willing to solve? There is a monster in Loch Ness. the baker from whom I bought these bagels left.",12.004175186157227,1.0,1.0,1.0,1,1.0,1.0,93,93
deeac7916cf7,hybrid_ce,gpt2,cola,12,8,"I hit that you knew the answer. Carmen obtained the spare part at the hardware store. Mary beautifully plays the violin. Water bubbled up out of the kettle. John left orders to follow Pete. She was dancing with somebody, but I don't know who with. Mary came to be introduced by the bartender and I also came to be. Mickey looked up it.","I hit that you knew the answer. Carmen obtained the spare part at the hardware store. Mary beautifully plays the violin. Water bubbled up out of the kettle. John left orders to follow Pete. She was dancing with somebody, but I don't know who with. Mary came to be introduced by the bartender and I also came to be. Mickey looked up it.",11.33647108078003,1.0,1.0,1.0,1,1.0,1.0,74,74
deeac7916cf7,hybrid_ce,gpt2,cola,13,8,"John became deadly afraid of flying. Sally is tall, and may be blond, and Sheila is short, and definitely is, blond. Maxwell is quite a doctor. They're going to serve the guests something, but it's unclear what. There is believed to be sheep in the park. The person responsible confessed. If you had eaten more, you would want less. Books were taken from each student by the other.","John became deadly afraid of flying. Sally is tall, and may be blond, and Sheila is short, and definitely is, blond. Maxwell is quite a doctor. They're going to serve the guests something, but it's unclear what. There is believed to be sheep in the park. The person responsible confessed. If you had eaten more, you would want less. Books were taken from each student by the other.",11.373991966247559,1.0,1.0,1.0,1,1.0,1.0,84,84
deeac7916cf7,hybrid_ce,gpt2,cola,14,8,"This violin is difficult to play sonatas on. They make good cooks. Soaring temperatures are predicted for this weekend. John decided for Bill to get the prize. I want goes to the store. This is the senator to whose mother's friend's sister's I sent the letter. Only Churchill remembered Churchill giving the Blood, Sweat and Tears speech. Ricky can be relied on.","This violin is difficult to play sonatas on. They make good cooks. Soaring temperatures are predicted for this weekend. John decided for Bill to get the prize. I want goes to the store. This is the senator to whose mother's friend's sister's I sent the letter. Only Churchill remembered Churchill giving the Blood, Sweat and Tears speech. Ricky can be relied on.",11.257992506027222,1.0,1.0,1.0,1,1.0,1.0,78,78
deeac7916cf7,hybrid_ce,gpt2,cola,15,8,"TV puts dumb ideas. It mattered that the Giants had lost. Max seemed to be trying to begin to love Harriet, and Fred to be trying to begin to love Sue. John grudgingly accepted judgments of his incompetence as an auto mechanic. Ourselves like ourselves. Fred talked about everything before Rusty did talk about something. Everyone relies on someone. It's unclear who. The book that I said that I'd never read.","TV puts dumb ideas. It mattered that the Giants had lost. Max seemed to be trying to begin to love Harriet, and Fred to be trying to begin to love Sue. John grudgingly accepted judgments of his incompetence as an auto mechanic. Ourselves like ourselves. Fred talked about everything before Rusty did talk about something. Everyone relies on someone. It's unclear who. The book that I said that I'd never read.",11.437173843383789,1.0,1.0,1.0,1,1.0,1.0,86,86
deeac7916cf7,hybrid_ce,gpt2,cola,16,8,"John tried to leave. That Sam sometimes didn't sleep must have pleased somebody. Susan devoted herself to linguistics. Cohen proved that the continuum hypothesis was independent. The magazines were sent to herself by Mary. Most elections are quickly forgotten, but the election of 2000, everyone will remember for a long time. The farmer loaded the cart with apples. I shaved myself.","John tried to leave. That Sam sometimes didn't sleep must have pleased somebody. Susan devoted herself to linguistics. Cohen proved that the continuum hypothesis was independent. The magazines were sent to herself by Mary. Most elections are quickly forgotten, but the election of 2000, everyone will remember for a long time. The farmer loaded the cart with apples. I shaved myself.",12.139108180999756,1.0,1.0,1.0,1,1.0,1.0,73,73
deeac7916cf7,hybrid_ce,gpt2,cola,17,8,John became rich. John whispered Mary left. Fanny regretted having to talk to Aunt Norris. A hundred men surrounded the fort. The Peter we all like was at the party We elected me. Everyone hopes that he will sleep. Jason happens to appear to seem to be sick.,John became rich. John whispered Mary left. Fanny regretted having to talk to Aunt Norris. A hundred men surrounded the fort. The Peter we all like was at the party We elected me. Everyone hopes that he will sleep. Jason happens to appear to seem to be sick.,11.074925899505615,1.0,1.0,1.0,1,1.0,1.0,56,56
deeac7916cf7,hybrid_ce,gpt2,cola,18,8,"Each of the performers came in, but were sitting so far back that we couldn't see who. I saw even the student. Any pilot on duty today could be flying this plane. To please John is easy. Sandy was trying to work out which students would be able to solve a problem. John placed Kim behind the garage. Jason persuaded the doctor to treat Medea Dumb ideas are put notions in children's heads by TV.","Each of the performers came in, but were sitting so far back that we couldn't see who. I saw even the student. Any pilot on duty today could be flying this plane. To please John is easy. Sandy was trying to work out which students would be able to solve a problem. John placed Kim behind the garage. Jason persuaded the doctor to treat Medea Dumb ideas are put notions in children's heads by TV.",11.393101215362549,1.0,1.0,1.0,1,1.0,1.0,86,86
deeac7916cf7,hybrid_ce,gpt2,cola,19,8,It was the peasant girl who got it. I enjoy yourself. Protect yourself! The book what inspired them was very long. the putter of books left. Linda taped the picture to the wall. Frank Churchill crossed the street. Terry delighted my pain.,It was the peasant girl who got it. I enjoy yourself. Protect yourself! The book what inspired them was very long. the putter of books left. Linda taped the picture to the wall. Frank Churchill crossed the street. Terry delighted my pain.,10.982091426849365,1.0,1.0,1.0,1,1.0,1.0,51,51
deeac7916cf7,hybrid_ce,gpt2,cola,20,8,The mechanical doll wriggled itself loose. Lights go out at ten. There will be no talking afterwards. John ate his noodle quietly. Bill's story about Sue and Max's about Kathy both amazed me. Susan told her a story. There is a bench to sit on. Kris donated a book to the library. That surprised me.,The mechanical doll wriggled itself loose. Lights go out at ten. There will be no talking afterwards. John ate his noodle quietly. Bill's story about Sue and Max's about Kathy both amazed me. Susan told her a story. There is a bench to sit on. Kris donated a book to the library. That surprised me.,11.285097599029541,1.0,1.0,1.0,1,1.0,1.0,69,69
