attack,model,dataset,input_index,sentence_index,reference,prediction,rouge1_fm,rouge2_fm,rougeL_fm,exact_match,token_acc,padded_token_acc,pred_len,ref_len,canary_exact_match,canary_recovered_any,canary_token_recall,canary_token_precision,canary_rouge1_fm,canary_rouge2_fm,canary_rougeL_fm,foreign_canary_mentions,pred_canary_count,ref_canary_count,non_canary_rouge1_fm,non_canary_rouge2_fm,non_canary_rougeL_fm,non_canary_exact_match,non_canary_token_acc,non_canary_padded_token_acc,non_canary_pred_len,non_canary_ref_len
dager_canary_ce,gpt2,sst2,0,0,"qxjkvcanary000000 despite its title, punch-drunk love is never heavy-handed.  qxjkvcanary000000","qxjkvcanary000000 despite its title, punch-drunk love is never heavy-handed.  qxjkvcanary000000",1.0,1.0,1.0,1,1.0,1.0,32,32,1,1,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1.0,1.0,1.0,1,1.0,1.0,15,15
dager_canary_ce,gpt2,sst2,0,1,"qxjkvcanary000001 forced, familiar and thoroughly condescending.  qxjkvcanary000001","qxjkvcanary000001 forced, familiar and thoroughly condescending.  qxjkvcanary000001",1.0,1.0,1.0,1,1.0,1.0,27,27,1,1,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1.0,1.0,1.0,1,1.0,1.0,8,8
dager_canary_ce,gpt2,sst2,0,2,qxjkvcanary000002 binoche makes it interesting trying to find out.  qxjkvcanary000002,qxjkvcanary000002 binoche makes it interesting trying to find out.  qxjkvcanary000002,1.0,1.0,1.0,1,1.0,1.0,29,29,1,1,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1.0,1.0,1.0,1,1.0,1.0,10,10
dager_canary_ce,gpt2,sst2,0,3,"qxjkvcanary000003 for all the writhing and wailing, tears, rage and opium overdoses, there's no sense of actual passion being washed away in love's dissolution.  qxjkvcanary000003","qxjkvcanary000003 for all the writhing and wailing, tears, rage and opium overdoses, there's no sense of actual passion being washed away in love's dissolution.  qxjkvcanary000003",1.0,1.0,1.0,1,1.0,1.0,50,50,1,1,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1.0,1.0,1.0,1,1.0,1.0,31,31
dager_canary_ce,gpt2,sst2,0,4,qxjkvcanary000004 it's fascinating to see how bettany and mcdowell play off each other.  qxjkvcanary000004,qxjkvcanary000004 it's fascinating to see how bettany and mcdowell play off each other.  qxjkvcanary000004,1.0,1.0,1.0,1,1.0,1.0,37,37,1,1,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1.0,1.0,1.0,1,1.0,1.0,18,18
dager_canary_ce,gpt2,sst2,0,5,qxjkvcanary000005 his healthy sense of satire is light and fun...  qxjkvcanary000005,qxjkvcanary000005 his healthy sense of satire is light and fun...  qxjkvcanary000005,1.0,1.0,1.0,1,1.0,1.0,29,29,1,1,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1.0,1.0,1.0,1,1.0,1.0,10,10
dager_canary_ce,gpt2,sst2,0,6,"qxjkvcanary000006 the movie has an infectious exuberance that will engage anyone with a passing interest in the skate/surf culture, the l.a. beach scene and the imaginative ( and sometimes illegal ) ways kids can make a playground out of the refuse of adults.  qxjkvcanary000006","qxjkvcanary000006 the movie has an infectious exuberance that will engage anyone with a passing interest in the skate/surf culture, the l.a. beach scene and the imaginative ( and sometimes illegal ) ways kids can make a playground out of the refuse of adults.  qxjkvcanary000006",1.0,1.0,1.0,1,1.0,1.0,71,71,1,1,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1.0,1.0,1.0,1,1.0,1.0,52,52
dager_canary_ce,gpt2,sst2,0,7,"qxjkvcanary000007 for movie lovers as well as opera lovers, tosca is a real treat.  qxjkvcanary000007","qxjkvcanary000007 for movie lovers as well as opera lovers, tosca is a real treat.  qxjkvcanary000007",1.0,1.0,1.0,1,1.0,1.0,36,36,1,1,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1.0,1.0,1.0,1,1.0,1.0,17,17
dager_canary_ce,gpt2,sst2,0,8,qxjkvcanary000008 a giggle-inducing comedy with snappy dialogue and winning performances by an unlikely team of oscar-winners : susan sarandon and goldie hawn.  qxjkvcanary000008,qxjkvcanary000008 a giggle-inducing comedy with snappy dialogue and winning performances by an unlikely team of oscar-winners : susan sarandon and goldie hawn.  qxjkvcanary000008,1.0,1.0,1.0,1,1.0,1.0,53,53,1,1,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1.0,1.0,1.0,1,1.0,1.0,34,34
dager_canary_ce,gpt2,sst2,0,9,"qxjkvcanary000009 generally, clockstoppers will fulfill your wildest fantasies about being a different kind of time traveler, while happily killing 94 minutes.  qxjkvcanary000009","qxjkvcanary000009 generally, clockstoppers will fulfill your wildest fantasies about being a different kind of time traveler, while happily killing 94 minutes.  qxjkvcanary000009",1.0,1.0,1.0,1,1.0,1.0,45,45,1,1,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1.0,1.0,1.0,1,1.0,1.0,27,27
