attack,model,dataset,input_index,sentence_index,reference,prediction,rouge1_fm,rouge2_fm,rougeL_fm,exact_match,token_acc,padded_token_acc,pred_len,ref_len
synthetic_autoregressive_proto,gpt2,sst2,0,0,it confirms fincher 's status as a film maker who artfully bends technical know-how to the service of psychological insight . ,it confirms fincher 's status as a film maker who artfully bends technical know-how to the service of psychological insight,1.0,1.0,1.0,0,0.9259259259259259,0.9259259259259259,25,27
synthetic_autoregressive_proto,gpt2,sst2,0,1,too much of it feels unfocused and underdeveloped . ,too much of it feels unfocused and underdeveloped maker who artfully bends technical know-how to the service of psychological insight,0.5517241379310345,0.5185185185185185,0.5517241379310345,0,0.8181818181818182,0.8181818181818182,24,11
synthetic_autoregressive_proto,gpt2,sst2,1,0,a great ensemble cast ca n't lift this heartfelt enterprise out of the familiar . ,a great ensemble cast ca n't lift this heartfelt enterprise out of the familiar,1.0,1.0,1.0,0,0.8823529411764706,0.8823529411764706,15,17
synthetic_autoregressive_proto,gpt2,sst2,1,1,"prurient playthings aside , there 's little to love about this english trifle . ",prurient playthings aside there 's little to love about this english trifle the familiar,0.923076923076923,0.9166666666666666,0.923076923076923,0,0.3,0.3,19,20
synthetic_autoregressive_proto,gpt2,sst2,2,0,"it moves quickly , adroitly , and without fuss ; it does n't give you time to reflect on the inanity -- and the cold war datedness -- of its premise . ",it moves quickly adroitly and without fuss it does n't give you time to reflect on the inanity and the cold war datedness of its premise,1.0,1.0,1.0,0,0.07894736842105263,0.07894736842105263,31,38
synthetic_autoregressive_proto,gpt2,sst2,2,1,"it proves quite compelling as an intense , brooding character study . ",it proves quite compelling as an intense brooding character study give you time to reflect on the inanity and the cold war datedness of its premise,0.5555555555555556,0.5294117647058824,0.5555555555555556,0,0.5,0.5,29,14
synthetic_autoregressive_proto,gpt2,sst2,3,0,bogdanovich tantalizes by offering a peep show into the lives of the era 's creme de la celluloid . ,bogdanovich tantalizes by offering a peep show into the lives of the era 's creme de la celluloid,1.0,1.0,1.0,0,0.9285714285714286,0.9285714285714286,26,28
synthetic_autoregressive_proto,gpt2,sst2,3,1,looks and feels like a project better suited for the small screen . ,looks and feels like a project better suited for the small screen era 's creme de la celluloid,0.8,0.7857142857142858,0.8,0,0.8666666666666667,0.8666666666666667,22,15
synthetic_autoregressive_proto,gpt2,sst2,4,0,verbinski implements every hack-artist trick to give us the ooky-spookies . ,verbinski implements every hack-artist trick to give us the ooky-spookies adults,0.9600000000000001,0.9565217391304348,0.9600000000000001,0,0.9,0.9,19,20
synthetic_autoregressive_proto,gpt2,sst2,4,1,"this is a good script , good dialogue , funny even for adults . ",this is a good script good dialogue funny even for adults,1.0,1.0,1.0,0,0.3333333333333333,0.3333333333333333,11,15
