run_id,attack,model,dataset,input_index,num_sentences,joined_reference,joined_prediction,reconstruction_time_sec,rouge1_fm,rouge2_fm,rougeL_fm,exact_match,token_acc,padded_token_acc,pred_len,ref_len
95659c467293,dager_ce,openai-community/gpt2-large,cola,0,8,The children amused. The committee knows whose efforts to achieve peace the world should honor. Some people yell at noisy dogs. Harriet admired Mr Knightley. I read some of the book. I gave John gold apples. John made Bill mad at himself. The teacher handed the student.,The children amused. The committee knows whose efforts to achieve peace the world should honor. Some people yell at noisy dogs. Harriet admired Mr Knightley. I read some of the book. I gave John gold apples. John made Bill mad at himself. The teacher handed the student.,20.173583507537842,1.0,1.0,1.0,1,1.0,1.0,56,56
95659c467293,dager_ce,openai-community/gpt2-large,cola,1,8,"He washed yourself. Wind was gotten of a plot to negotiate an honorable end to the war in Vietnam. That Sandy had lied suggested. This girl in the red coat will put a picture of Bill in the mailbox and on your desk before tomorrow. I no more could have stolen that steak than Jack the diamonds. Bill ate the peaches, and Harry did, too. It was to John that I gave the book. I gave Pete the book to impress.","He washed yourself. Wind was gotten of a plot to negotiate an honorable end to the war in Vietnam. That Sandy had lied suggested. This girl in the red coat will put a picture of Bill in the mailbox and on your desk before tomorrow. I no more could have stolen that steak than Jack the diamonds. Bill ate the peaches, and Harry did, too. It was to John that I gave the book. I gave Pete the book to impress.",21.24653434753418,1.0,1.0,1.0,1,1.0,1.0,92,92
95659c467293,dager_ce,openai-community/gpt2-large,cola,2,8,Carla slid the book. The farmer loaded the cart with apples. Muriel said nothing else than that she had been insulted. Heidi likes her violin. I lent the book partway to Tony. What did Bill buy? A letter was received Jones would be upset by. The horse that was raced past the barn fell.,Carla slid the book. The farmer loaded the cart with apples. Muriel said nothing else than that she had been insulted. Heidi likes her violin. I lent the book partway to Tony. What did Bill buy? A letter was received Jones would be upset by. The horse that was raced past the barn fell.,19.589364051818848,1.0,1.0,1.0,1,1.0,1.0,65,65
95659c467293,dager_ce,openai-community/gpt2-large,cola,3,8,"John's arriving dead surprised me. I served leek soup to my guests. The men will all leave. The more pictures of him that appear in the news, the more embarrassed John becomes. Cynthia chewed. I can't believe Fred won't, either. I saw Bill while you did so Mary. Susan whispered at Rachel.","John's arriving dead surprised me. I served leek soup to my guests. The men will all leave. The more pictures of him that appear in the news, the more embarrassed John becomes. Cynthia chewed. I can't believe Fred won't, either. I saw Bill while you did so Mary. Susan whispered at Rachel.",20.34954571723938,1.0,1.0,1.0,1,1.0,1.0,67,67
95659c467293,dager_ce,openai-community/gpt2-large,cola,4,8,This dye will run. The sailors rode the breeze clear of the rocks. Which girl did Mike quip never wore this hat? Do you believe the claim that somebody was looking for something? You should sit before there. Chocolate eggs were hidden from every child by his mother. The only person that I like whose kids Dana is willing to put up with is Pat. Sandy was trying to work out which students would be able to solve a problem.,This dye will run. The sailors rode the breeze clear of the rocks. Which girl did Mike quip never wore this hat? Do you believe the claim that somebody was looking for something? You should sit before there. Chocolate eggs were hidden from every child by his mother. The only person that I like whose kids Dana is willing to put up with is Pat. Sandy was trying to work out which students would be able to solve a problem.,20.362072706222534,1.0,1.0,1.0,1,1.0,1.0,89,89
95659c467293,dager_ce,openai-community/gpt2-large,cola,5,8,The jury believed the defendant lied. The bird sing. The government's imposition of a fine. The idea dismayed the Prime Minister that the Dome was dull. John ate his noodle quietly. Wash you! Did the child be in the school? Susan told her a story.,The jury believed the defendant lied. The bird sing. The government's imposition of a fine. The idea dismayed the Prime Minister that the Dome was dull. John ate his noodle quietly. Wash you! Did the child be in the school? Susan told her a story.,19.561453819274902,1.0,1.0,1.0,1,1.0,1.0,56,56
95659c467293,dager_ce,openai-community/gpt2-large,cola,6,8,We think that Leslie likes us. Anybody who attended last week's huge rally signed the petition. It is obvious that Pat is lying. Jean persuaded Robert. Was sunk. The only person whose kids Dana is willing to put up with was written by John. A good friend is remained to me by him. The fort fluttered with many flags.,We think that Leslie likes us. Anybody who attended last week's huge rally signed the petition. It is obvious that Pat is lying. Jean persuaded Robert. Was sunk. The only person whose kids Dana is willing to put up with was written by John. A good friend is remained to me by him. The fort fluttered with many flags.,20.204509019851685,1.0,1.0,1.0,1,1.0,1.0,70,70
95659c467293,dager_ce,openai-community/gpt2-large,cola,7,8,She talked to John or Mary but I don't know which. Chris handed Bo. They were interested in his. What did you ask who Medea gave? A pilot could be flying this plane. It never occurred to Pat that Chris knew the answer. Give me the phone number of the person whose mother's dog died. John is likely to leave.,She talked to John or Mary but I don't know which. Chris handed Bo. They were interested in his. What did you ask who Medea gave? A pilot could be flying this plane. It never occurred to Pat that Chris knew the answer. Give me the phone number of the person whose mother's dog died. John is likely to leave.,19.951749801635742,1.0,1.0,1.0,1,1.0,1.0,71,71
95659c467293,dager_ce,openai-community/gpt2-large,cola,8,8,"to steal talismans from witches is dangerous They may grow as high as bamboo. That we invaded Iraq really bites. I would prefer for John to leave. Dumb ideas are put notions in children's heads by TV. Tom picked these grapes, and I washed some turnips, and Suzie will prepare these grapes. The Dodgers beat the Red Sox and were beaten by the Giants. Jessica loaded boxes on the wagon.","to steal talismans from witches is dangerous They may grow as high as bamboo. That we invaded Iraq really bites. I would prefer for John to leave. Dumb ideas are put notions in children's heads by TV. Tom picked these grapes, and I washed some turnips, and Suzie will prepare these grapes. The Dodgers beat the Red Sox and were beaten by the Giants. Jessica loaded boxes on the wagon.",20.392642736434937,1.0,1.0,1.0,1,1.0,1.0,84,84
95659c467293,dager_ce,openai-community/gpt2-large,cola,9,8,"1 gave Mary after the party a book. Fluffy is sick, which not everybody knows. Phillip gave the medal to the soldier. The farmer dumped the cart with apples. I am counting on Bill to get there on time. Bill wondered how many papers Sandy had read, but he didn't care which ones. They realised that never had Sir Thomas been so offended. Newsweek appeared on the newsstands.","1 gave Mary after the party a book. Fluffy is sick, which not everybody knows. Phillip gave the medal to the soldier. The farmer dumped the cart with apples. I am counting on Bill to get there on time. Bill wondered how many papers Sandy had read, but he didn't care which ones. They realised that never had Sir Thomas been so offended. Newsweek appeared on the newsstands.",20.057615041732788,1.0,1.0,1.0,1,1.0,1.0,82,82
