run_id,attack,model,dataset,input_index,sentence_index,reference,prediction,rouge1_fm,rouge2_fm,rougeL_fm,exact_match,token_acc,padded_token_acc,pred_len,ref_len
43e181e4ba79,hybrid_ce,gpt2,rotten_tomatoes,0,0,"fast-paced and wonderfully edited, the film is extremely thorough.","fast-paced and wonderfully edited, the film is extremely thorough.",1.0,1.0,1.0,1,1.0,1.0,13,13
43e181e4ba79,hybrid_ce,gpt2,rotten_tomatoes,0,1,kaufman and jonze take huge risks to ponder the whole notion of passion -- our desire as human beings for passion in our lives and the emptiness one feels when it is missing.,kaufman and jonze take huge risks to ponder the whole notion of passion -- our desire as human beings for passion in our lives and the emptiness one feels when it is missing.,1.0,1.0,1.0,1,1.0,1.0,38,38
43e181e4ba79,hybrid_ce,gpt2,rotten_tomatoes,0,2,"at first, the sight of a blind man directing a film is hilarious, but as the film goes on, the joke wears thin.","at first, the sight of a blind man directing a film is hilarious, but as the film goes on, the joke wears thin.",1.0,1.0,1.0,1,1.0,1.0,27,27
43e181e4ba79,hybrid_ce,gpt2,rotten_tomatoes,0,3,everyone should be able to appreciate the wonderful cinematography and naturalistic acting.,everyone should be able to appreciate the wonderful cinematography and naturalistic acting.,1.0,1.0,1.0,1,1.0,1.0,15,15
43e181e4ba79,hybrid_ce,gpt2,rotten_tomatoes,0,4,"however sincere it may be, the rising place never quite justifies its own existence.","however sincere it may be, the rising place never quite justifies its own existence.",1.0,1.0,1.0,1,1.0,1.0,17,17
43e181e4ba79,hybrid_ce,gpt2,rotten_tomatoes,0,5,"a small gem of a movie that defies classification and is as thought-provoking as it is funny, scary and sad.","a small gem of a movie that defies classification and is as thought-provoking as it is funny, scary and sad.",1.0,1.0,1.0,1,1.0,1.0,26,26
43e181e4ba79,hybrid_ce,gpt2,rotten_tomatoes,0,6,"miyazaki has created such a vibrant, colorful world, it's almost impossible not to be swept away by the sheer beauty of his images.","miyazaki has created such a vibrant, colorful world, it's almost impossible not to be swept away by the sheer beauty of his images.",1.0,1.0,1.0,1,1.0,1.0,29,29
43e181e4ba79,hybrid_ce,gpt2,rotten_tomatoes,0,7,"perhaps the grossest movie ever made. funny, though.","perhaps the grossest movie ever made. funny, though.",1.0,1.0,1.0,1,1.0,1.0,12,12
43e181e4ba79,hybrid_ce,gpt2,rotten_tomatoes,1,0,here is a vh1 behind the music special that has something a little more special behind it : music that didn't sell many records but helped change a nation.,here is a vh1 behind the music special that has something a little more special behind it : music that didn't sell many records but helped change a nation.,1.0,1.0,1.0,1,1.0,1.0,33,33
43e181e4ba79,hybrid_ce,gpt2,rotten_tomatoes,1,1,"quite simply, a joy to watch and--especially--to listen to.","quite simply, a joy to watch and--especially--to listen to.",1.0,1.0,1.0,1,1.0,1.0,15,15
43e181e4ba79,hybrid_ce,gpt2,rotten_tomatoes,1,2,"director shekhar kapur and screenwriters michael schiffer and hossein amini have tried hard to modernize and reconceptualize things, but the barriers finally prove to be too great.","director shekhar kapur and screenwriters michael schiffer and hossein amini have tried hard to modernize and reconceptualize things, but the barriers finally prove to be too great.",1.0,1.0,1.0,1,1.0,1.0,44,44
43e181e4ba79,hybrid_ce,gpt2,rotten_tomatoes,1,3,"this pathetic junk is barely an hour long. nevertheless, it still seems endless.","this pathetic junk is barely an hour long. nevertheless, it still seems endless.",1.0,1.0,1.0,1,1.0,1.0,16,16
43e181e4ba79,hybrid_ce,gpt2,rotten_tomatoes,1,4,... better described as a ghost story gone badly awry.,... better described as a ghost story gone badly awry.,1.0,1.0,1.0,1,1.0,1.0,12,12
43e181e4ba79,hybrid_ce,gpt2,rotten_tomatoes,1,5,"simplistic, silly and tedious.","simplistic, silly and tedious.",1.0,1.0,1.0,1,1.0,1.0,8,8
43e181e4ba79,hybrid_ce,gpt2,rotten_tomatoes,1,6,"while the filmmaking may be a bit disjointed, the subject matter is so fascinating that you won't care.","while the filmmaking may be a bit disjointed, the subject matter is so fascinating that you won't care.",1.0,1.0,1.0,1,1.0,1.0,23,23
43e181e4ba79,hybrid_ce,gpt2,rotten_tomatoes,1,7,it provides an honest look at a community striving to anchor itself in new grounds.,it provides an honest look at a community striving to anchor itself in new grounds.,1.0,1.0,1.0,1,1.0,1.0,16,16
43e181e4ba79,hybrid_ce,gpt2,rotten_tomatoes,2,0,"when the film ended, i felt tired and drained and wanted to lie on my own deathbed for a while.","when the film ended, i felt tired and drained and wanted to lie on my own deathbed for a while.",1.0,1.0,1.0,1,1.0,1.0,23,23
43e181e4ba79,hybrid_ce,gpt2,rotten_tomatoes,2,1,the film is impressive for the sights and sounds of the wondrous beats the world has to offer.,the film is impressive for the sights and sounds of the wondrous beats the world has to offer.,1.0,1.0,1.0,1,1.0,1.0,20,20
43e181e4ba79,hybrid_ce,gpt2,rotten_tomatoes,2,2,"both stars manage to be funny, but, like the recent i spy, the star chemistry begs the question of whether random gags add up to a movie.","both stars manage to be funny, but, like the recent i spy, the star chemistry begs the question of whether random gags add up to a movie.",1.0,1.0,1.0,1,1.0,1.0,32,32
43e181e4ba79,hybrid_ce,gpt2,rotten_tomatoes,2,3,fans of the modern day hong kong action film finally have the worthy successor to a better tomorrow and the killer which they have been patiently waiting for.,fans of the modern day hong kong action film finally have the worthy successor to a better tomorrow and the killer which they have been patiently waiting for.,1.0,1.0,1.0,1,1.0,1.0,32,32
43e181e4ba79,hybrid_ce,gpt2,rotten_tomatoes,2,4,the story drifts so inexorably into cliches about tortured ( and torturing ) artists and consuming but impossible love that you can't help but become more disappointed as each overwrought new sequence plods on.,the story drifts so inexorably into cliches about tortured ( and torturing ) artists and consuming but impossible love that you can't help but become more disappointed as each overwrought new sequence plods on.,1.0,1.0,1.0,1,1.0,1.0,44,44
43e181e4ba79,hybrid_ce,gpt2,rotten_tomatoes,2,5,"why, you may ask, why should you buy the movie milk when the tv cow is free? there's no good answer to that one.","why, you may ask, why should you buy the movie milk when the tv cow is free? there's no good answer to that one.",1.0,1.0,1.0,1,1.0,1.0,29,29
43e181e4ba79,hybrid_ce,gpt2,rotten_tomatoes,2,6,a characteristically engorged and sloppy coming-of-age movie.,a characteristically engorged and sloppy coming-of-age movie.,1.0,1.0,1.0,1,1.0,1.0,15,15
43e181e4ba79,hybrid_ce,gpt2,rotten_tomatoes,2,7,"in the end, the film feels homogenized and a bit contrived, as if we're looking back at a tattered and ugly past with rose-tinted glasses.","in the end, the film feels homogenized and a bit contrived, as if we're looking back at a tattered and ugly past with rose-tinted glasses.",1.0,1.0,1.0,1,1.0,1.0,37,37
43e181e4ba79,hybrid_ce,gpt2,rotten_tomatoes,3,0,gloriously straight from the vagina.,gloriously straight from the vagina.,1.0,1.0,1.0,1,1.0,1.0,8,8
43e181e4ba79,hybrid_ce,gpt2,rotten_tomatoes,3,1,"its compelling mix of trial movie, escape movie and unexpected fable ensures the film never feels draggy.","its compelling mix of trial movie, escape movie and unexpected fable ensures the film never feels draggy.",1.0,1.0,1.0,1,1.0,1.0,21,21
43e181e4ba79,hybrid_ce,gpt2,rotten_tomatoes,3,2,"the film might have been more satisfying if it had, in fact, been fleshed out a little more instead of going for easy smiles.","the film might have been more satisfying if it had, in fact, been fleshed out a little more instead of going for easy smiles.",1.0,1.0,1.0,1,1.0,1.0,29,29
43e181e4ba79,hybrid_ce,gpt2,rotten_tomatoes,3,3,if you enjoy more thoughtful comedies with interesting conflicted characters ; this one is for you.,if you enjoy more thoughtful comedies with interesting conflicted characters ; this one is for you.,1.0,1.0,1.0,1,1.0,1.0,18,18
43e181e4ba79,hybrid_ce,gpt2,rotten_tomatoes,3,4,"if it tried to do anything more, it would fail and perhaps explode, but at this level of manic whimsy, it is just about right.","if it tried to do anything more, it would fail and perhaps explode, but at this level of manic whimsy, it is just about right.",1.0,1.0,1.0,1,1.0,1.0,30,30
43e181e4ba79,hybrid_ce,gpt2,rotten_tomatoes,3,5,"there's undeniable enjoyment to be had from films crammed with movie references, but the fun wears thin -- then out -- when there's nothing else happening.","there's undeniable enjoyment to be had from films crammed with movie references, but the fun wears thin -- then out -- when there's nothing else happening.",1.0,1.0,1.0,1,1.0,1.0,30,30
43e181e4ba79,hybrid_ce,gpt2,rotten_tomatoes,3,6,"however it may please those who love movies that blare with pop songs, young science fiction fans will stomp away in disgust.","however it may please those who love movies that blare with pop songs, young science fiction fans will stomp away in disgust.",1.0,1.0,1.0,1,1.0,1.0,26,26
43e181e4ba79,hybrid_ce,gpt2,rotten_tomatoes,3,7,"everything its title implies, a standard-issue crime drama spat out from the tinseltown assembly line.","everything its title implies, a standard-issue crime drama spat out from the tinseltown assembly line.",1.0,1.0,1.0,1,1.0,1.0,21,21
43e181e4ba79,hybrid_ce,gpt2,rotten_tomatoes,4,0,"a hit- and-miss affair, consistently amusing but not as outrageous or funny as cho may have intended or as imaginative as one might have hoped.","a hit- and-miss affair, consistently amusing but not as outrageous or funny as cho may have intended or as imaginative as one might have hoped.",1.0,1.0,1.0,1,1.0,1.0,30,30
43e181e4ba79,hybrid_ce,gpt2,rotten_tomatoes,4,1,"as social exposé, skins has its heart in the right place, but that's not much to hang a soap opera on.","as social exposé, skins has its heart in the right place, but that's not much to hang a soap opera on.",1.0,1.0,1.0,1,1.0,1.0,27,27
43e181e4ba79,hybrid_ce,gpt2,rotten_tomatoes,4,2,"this toothless dog, already on cable, loses all bite on the big screen.","this toothless dog, already on cable, loses all bite on the big screen.",1.0,1.0,1.0,1,1.0,1.0,17,17
43e181e4ba79,hybrid_ce,gpt2,rotten_tomatoes,4,3,"i'm not a fan of the phrase 'life affirming' because it usually means'schmaltzy,'but real women have curves truly is life affirming.","i'm not a fan of the phrase 'life affirming' because it usually means'schmaltzy,'but real women have curves truly is life affirming.",1.0,1.0,1.0,1,1.0,1.0,34,34
43e181e4ba79,hybrid_ce,gpt2,rotten_tomatoes,4,4,a film with a great premise but only a great premise.,a film with a great premise but only a great premise.,1.0,1.0,1.0,1,1.0,1.0,12,12
43e181e4ba79,hybrid_ce,gpt2,rotten_tomatoes,4,5,"despite a quieter middle section, involving aragorn's dreams of arwen, this is even better than the fellowship. there are scenes of cinematic perfection that steal your heart away.","despite a quieter middle section, involving aragorn's dreams of arwen, this is even better than the fellowship. there are scenes of cinematic perfection that steal your heart away.",1.0,1.0,1.0,1,1.0,1.0,36,36
43e181e4ba79,hybrid_ce,gpt2,rotten_tomatoes,4,6,"yes, i have given this movie a rating of zero. but fans of the show should not consider this a diss. consider it 'perfection. '","yes, i have given this movie a rating of zero. but fans of the show should not consider this a diss. consider it 'perfection. '",1.0,1.0,1.0,1,1.0,1.0,31,31
