run_id,attack,model,dataset,input_index,num_sentences,joined_reference,joined_prediction,reconstruction_time_sec,rouge1_fm,rouge2_fm,rougeL_fm,exact_match,token_acc,padded_token_acc,pred_len,ref_len
277bd397806a,hybrid_ce,openai-community/gpt2-large,cola,0,8,John made Bill master of himself. John will rain tomorrow. I served leek soup to my guests. We created a monster. Either Sam plays the bassoon or Jekyll the oboe. there is nothing to do. Sandy had read how many papers?! I don't know if I should agree.,John made Bill master of himself. John will rain tomorrow. I served leek soup to my guests. We created a monster. Either Sam plays the bassoon or Jekyll the oboe. there is nothing to do. Sandy had read how many papers?! I don't know if I should agree.,42.20391798019409,1.0,1.0,1.0,1,1.0,1.0,62,62
277bd397806a,hybrid_ce,openai-community/gpt2-large,cola,1,8,"The defendants denies the allegation. I know that Meg's attracted to Harry, but they don't know who. It was a brand new car that he bought. Nora sent Peter the book. Tom will smoke the grass, and Reuben has the hash. Chris was handed Sandy a note. Students studying English reads Conrad's Heart of Darkness while at university. Phillip gave the medal to the soldier.","The defendants denies the allegation. I know that Meg's attracted to Harry, but they don't know who. It was a brand new car that he bought. Nora sent Peter the book. Tom will smoke the grass, and Reuben has the hash. Chris was handed Sandy a note. Students studying English reads Conrad's Heart of Darkness while at university. Phillip gave the medal to the soldier.",41.02084684371948,1.0,1.0,1.0,1,1.0,1.0,79,79
277bd397806a,hybrid_ce,openai-community/gpt2-large,cola,2,8,"Most columnists claim that a senior White House official has been briefing them, but none will reveal which one. Nobody told Susan about herself. That is the reason why he resigned. I borrowed Fred's diagram of a snake's eye because Steve's had been stolen. Anson demonized up the Khyber The tub leaked water. I inquired when could we leave. The crocodile devoured the doughnut.","Most columnists claim that a senior White House official has been briefing them, but none will reveal which one. Nobody told Susan about herself. That is the reason why he resigned. I borrowed Fred's diagram of a snake's eye because Steve's had been stolen. Anson demonized up the Khyber The tub leaked water. I inquired when could we leave. The crocodile devoured the doughnut.",42.65843844413757,1.0,1.0,1.0,1,1.0,1.0,83,83
277bd397806a,hybrid_ce,openai-community/gpt2-large,cola,3,8,Sandra beamed a cheerful welcome. Bill's funny story about Sue and Max's boring one about Kathy both amazed me. I drank some of water. The bread cuts easily. Many people were fond of Pat. Colin asked if they could get a mortgage. Something happened I couldn't really talk about. The defendant deny the allegation.,Sandra beamed a cheerful welcome. Bill's funny story about Sue and Max's boring one about Kathy both amazed me. I drank some of water. The bread cuts easily. Many people were fond of Pat. Colin asked if they could get a mortgage. Something happened I couldn't really talk about. The defendant deny the allegation.,41.591994285583496,1.0,1.0,1.0,1,1.0,1.0,67,67
277bd397806a,hybrid_ce,openai-community/gpt2-large,cola,4,8,"Tabs were kept on each agent by the other. Chocolate eggs were hidden from every child by his mother. I noticed the. Though he may hate those that criticize Carter, it doesn't matter. We donated wire for the convicts to build cages with. After reading the pamphlet, Judy threw it into the garbage can. The newspaper has reported that they are about to appoint someone, but I can't remember who the newspaper has reported that they are about to appoint. Cohen proved the independence of the continuum hypothesis.","Tabs were kept on each agent by the other. Chocolate eggs were hidden from every child by his mother. I noticed the. Though he may hate those that criticize Carter, it doesn't matter. We donated wire for the convicts to build cages with. After reading the pamphlet, Judy threw it into the garbage can. The newspaper has reported that they are about to appoint someone, but I can't remember who the newspaper has reported that they are about to appoint. Cohen proved the independence of the continuum hypothesis.",44.038501501083374,1.0,1.0,1.0,1,1.0,1.0,103,103
277bd397806a,hybrid_ce,openai-community/gpt2-large,cola,5,8,"Susan frightens her. I talked to Winston about himself. Chocolate eggs were hidden from each other by the children. A pilot could be flying this plane. He let the cats which were whining out. Bill's story about Sue may be amazing, but Max's is virtually incredible. We offered a job to her. I know which book Mag read, and which book Bob said that you hadn't.","Susan frightens her. I talked to Winston about himself. Chocolate eggs were hidden from each other by the children. A pilot could be flying this plane. He let the cats which were whining out. Bill's story about Sue may be amazing, but Max's is virtually incredible. We offered a job to her. I know which book Mag read, and which book Bob said that you hadn't.",41.01049995422363,1.0,1.0,1.0,1,1.0,1.0,80,80
277bd397806a,hybrid_ce,openai-community/gpt2-large,cola,6,8,"The bills passed by the House yesterday that we objected to were vetoed. I want that Bill left to remain a secret. I wondered who Medea had poisoned. Who do you think Tom saw? It was from six to nine or it took place from six to nine. We put the pigs in a pen. I can't believe Fred won't, either. John considers Bill silly.","The bills passed by the House yesterday that we objected to were vetoed. I want that Bill left to remain a secret. I wondered who Medea had poisoned. Who do you think Tom saw? It was from six to nine or it took place from six to nine. We put the pigs in a pen. I can't believe Fred won't, either. John considers Bill silly.",40.808366775512695,1.0,1.0,1.0,1,1.0,1.0,77,77
277bd397806a,hybrid_ce,openai-community/gpt2-large,cola,7,8,"Newsweek appeared on the newsstands. I believe there to be no way out. We forgot our invitations. John was struck as sick. Mary was respected by John. The more Fred is obnoxious, the less attention you should pay to him. The bucket was kicked by Pat. Vote for you!","Newsweek appeared on the newsstands. I believe there to be no way out. We forgot our invitations. John was struck as sick. Mary was respected by John. The more Fred is obnoxious, the less attention you should pay to him. The bucket was kicked by Pat. Vote for you!",40.287161350250244,1.0,1.0,1.0,1,1.0,1.0,61,61
277bd397806a,hybrid_ce,openai-community/gpt2-large,cola,8,8,John has a fear of dogs. It's Anson that I like We gave us presents. A wonderful opportunity presented itself to him yesterday. This dogs barked. Cynthia nibbled on the carrot. It is to give up to leave. I like the book which you gave me.,John has a fear of dogs. It's Anson that I like We gave us presents. A wonderful opportunity presented itself to him yesterday. This dogs barked. Cynthia nibbled on the carrot. It is to give up to leave. I like the book which you gave me.,39.44824981689453,1.0,1.0,1.0,1,1.0,1.0,57,57
277bd397806a,hybrid_ce,openai-community/gpt2-large,cola,9,8,"Janet broke the cup. We celebrated in the streets. Cynthia chewed. These cars drive easily. The fort fluttered with many flags. The children amused. Which boy's did we elect guardian's employer president? They love to play golf, but I do not.","Janet broke the cup. We celebrated in the streets. Cynthia chewed. These cars drive easily. The fort fluttered with many flags. The children amused. Which boy's did we elect guardian's employer president? They love to play golf, but I do not.",39.63016963005066,1.0,1.0,1.0,1,1.0,1.0,55,55
