run_id,attack,model,dataset,input_index,sentence_index,reference,prediction,rouge1_fm,rouge2_fm,rougeL_fm,exact_match,token_acc,padded_token_acc,pred_len,ref_len
277bd397806a,hybrid_ce,openai-community/gpt2-large,cola,0,0,John made Bill master of himself.,John made Bill master of himself.,1.0,1.0,1.0,1,1.0,1.0,7,7
277bd397806a,hybrid_ce,openai-community/gpt2-large,cola,0,1,John will rain tomorrow.,John will rain tomorrow.,1.0,1.0,1.0,1,1.0,1.0,5,5
277bd397806a,hybrid_ce,openai-community/gpt2-large,cola,0,2,I served leek soup to my guests.,I served leek soup to my guests.,1.0,1.0,1.0,1,1.0,1.0,9,9
277bd397806a,hybrid_ce,openai-community/gpt2-large,cola,0,3,We created a monster.,We created a monster.,1.0,1.0,1.0,1,1.0,1.0,5,5
277bd397806a,hybrid_ce,openai-community/gpt2-large,cola,0,4,Either Sam plays the bassoon or Jekyll the oboe.,Either Sam plays the bassoon or Jekyll the oboe.,1.0,1.0,1.0,1,1.0,1.0,14,14
277bd397806a,hybrid_ce,openai-community/gpt2-large,cola,0,5,there is nothing to do.,there is nothing to do.,1.0,1.0,1.0,1,1.0,1.0,6,6
277bd397806a,hybrid_ce,openai-community/gpt2-large,cola,0,6,Sandy had read how many papers?!,Sandy had read how many papers?!,1.0,1.0,1.0,1,1.0,1.0,8,8
277bd397806a,hybrid_ce,openai-community/gpt2-large,cola,0,7,I don't know if I should agree.,I don't know if I should agree.,1.0,1.0,1.0,1,1.0,1.0,9,9
277bd397806a,hybrid_ce,openai-community/gpt2-large,cola,1,0,The defendants denies the allegation.,The defendants denies the allegation.,1.0,1.0,1.0,1,1.0,1.0,6,6
277bd397806a,hybrid_ce,openai-community/gpt2-large,cola,1,1,"I know that Meg's attracted to Harry, but they don't know who.","I know that Meg's attracted to Harry, but they don't know who.",1.0,1.0,1.0,1,1.0,1.0,16,16
277bd397806a,hybrid_ce,openai-community/gpt2-large,cola,1,2,It was a brand new car that he bought.,It was a brand new car that he bought.,1.0,1.0,1.0,1,1.0,1.0,10,10
277bd397806a,hybrid_ce,openai-community/gpt2-large,cola,1,3,Nora sent Peter the book.,Nora sent Peter the book.,1.0,1.0,1.0,1,1.0,1.0,7,7
277bd397806a,hybrid_ce,openai-community/gpt2-large,cola,1,4,"Tom will smoke the grass, and Reuben has the hash.","Tom will smoke the grass, and Reuben has the hash.",1.0,1.0,1.0,1,1.0,1.0,13,13
277bd397806a,hybrid_ce,openai-community/gpt2-large,cola,1,5,Chris was handed Sandy a note.,Chris was handed Sandy a note.,1.0,1.0,1.0,1,1.0,1.0,7,7
