attack,model,dataset,input_index,sentence_index,reference,prediction,rouge1_fm,rouge2_fm,rougeL_fm,exact_match,token_acc,padded_token_acc,pred_len,ref_len
dager_ce,gpt2,sst2,0,0,"despite its title, punch-drunk love is never heavy-handed. ","despite its title, punch-drunk love is never heavy-handed. ",1.0,1.0,1.0,1,1.0,1.0,16,16
dager_ce,gpt2,sst2,0,1,"forced, familiar and thoroughly condescending. ","forced, familiar and thoroughly condescending. ",1.0,1.0,1.0,1,1.0,1.0,9,9
dager_ce,gpt2,sst2,0,2,binoche makes it interesting trying to find out. ,binoche makes it interesting trying to find out. ,1.0,1.0,1.0,1,1.0,1.0,11,11
dager_ce,gpt2,sst2,0,3,"for all the writhing and wailing, tears, rage and opium overdoses, there's no sense of actual passion being washed away in love's dissolution. ","for all the writhing and wailing, tears, rage and opium overdoses, there's no sense of actual passion being washed away in love's dissolution. ",1.0,1.0,1.0,1,1.0,1.0,32,32
dager_ce,gpt2,sst2,0,4,it's fascinating to see how bettany and mcdowell play off each other. ,it's fascinating to see how bettany and mcdowell play off each other. ,1.0,1.0,1.0,1,1.0,1.0,19,19
dager_ce,gpt2,sst2,0,5,his healthy sense of satire is light and fun... ,his healthy sense of satire is light and fun... ,1.0,1.0,1.0,1,1.0,1.0,11,11
dager_ce,gpt2,sst2,0,6,"the movie has an infectious exuberance that will engage anyone with a passing interest in the skate/surf culture, the l.a. beach scene and the imaginative ( and sometimes illegal ) ways kids can make a playground out of the refuse of adults. ","the movie has an infectious exuberance that will engage anyone with a passing interest in the skate/surf culture, the l.a. beach scene and the imaginative ( and sometimes illegal ) ways kids can make a playground out of the refuse of adults. ",1.0,1.0,1.0,1,1.0,1.0,53,53
dager_ce,gpt2,sst2,0,7,"for movie lovers as well as opera lovers, tosca is a real treat. ","for movie lovers as well as opera lovers, tosca is a real treat. ",1.0,1.0,1.0,1,1.0,1.0,18,18
dager_ce,gpt2,sst2,0,8,a giggle-inducing comedy with snappy dialogue and winning performances by an unlikely team of oscar-winners : susan sarandon and goldie hawn. ,a giggle-inducing comedy with snappy dialogue and winning performances by an unlikely team of oscar-winners : susan sarandon and goldie hawn. ,1.0,1.0,1.0,1,1.0,1.0,35,35
dager_ce,gpt2,sst2,0,9,"generally, clockstoppers will fulfill your wildest fantasies about being a different kind of time traveler, while happily killing 94 minutes. ","generally, clockstoppers will fulfill your wildest fantasies about being a different kind of time traveler, while happily killing 94 minutes. ",1.0,1.0,1.0,1,1.0,1.0,28,28
dager_ce,gpt2,sst2,0,10,"the action switches between past and present, but the material link is too tenuous to anchor the emotional connections that purport to span a 125-year divide. ","the action switches between past and present, but the material link is too tenuous to anchor the emotional connections that purport to span a 125-year divide. ",1.0,1.0,1.0,1,1.0,1.0,33,33
