run_id,attack,model,dataset,input_index,num_sentences,joined_reference,joined_prediction,reconstruction_time_sec,rouge1_fm,rouge2_fm,rougeL_fm,exact_match,token_acc,padded_token_acc,pred_len,ref_len
f02f8ae04681,hybrid_ce,gpt2,sst2,0,1,it confirms fincher's status as a film maker who artfully bends technical know-how to the service of psychological insight. ,it confirms fincher's status as a film maker who artfully bends technical know-how to the service of psychological insight. ,11.604280471801758,1.0,1.0,1.0,1,1.0,1.0,26,26
f02f8ae04681,hybrid_ce,gpt2,sst2,1,1,too much of it feels unfocused and underdeveloped. ,too much of it feels unfocused and underdeveloped. ,10.309640407562256,1.0,1.0,1.0,1,1.0,1.0,11,11
f02f8ae04681,hybrid_ce,gpt2,sst2,2,1,a great ensemble cast can't lift this heartfelt enterprise out of the familiar. ,a great ensemble cast can't lift this heartfelt enterprise out of the familiar. ,10.141305208206177,1.0,1.0,1.0,1,1.0,1.0,16,16
f02f8ae04681,hybrid_ce,gpt2,sst2,3,1,"prurient playthings aside, there's little to love about this english trifle. ","prurient playthings aside, there's little to love about this english trifle. ",10.098261833190918,1.0,1.0,1.0,1,1.0,1.0,19,19
f02f8ae04681,hybrid_ce,gpt2,sst2,4,1,"it moves quickly, adroitly, and without fuss ; it doesn't give you time to reflect on the inanity -- and the cold war datedness -- of its premise. ","it moves quickly, adroitly, and without fuss ; it doesn't give you time to reflect on the inanity -- and the cold war datedness -- of its premise. ",10.313541173934937,1.0,1.0,1.0,1,1.0,1.0,37,37
f02f8ae04681,hybrid_ce,gpt2,sst2,5,1,"it proves quite compelling as an intense, brooding character study. ","it proves quite compelling as an intense, brooding character study. ",10.090942621231079,1.0,1.0,1.0,1,1.0,1.0,14,14
f02f8ae04681,hybrid_ce,gpt2,sst2,6,1,bogdanovich tantalizes by offering a peep show into the lives of the era's creme de la celluloid. ,bogdanovich tantalizes by offering a peep show into the lives of the era's creme de la celluloid. ,10.139278888702393,1.0,1.0,1.0,1,1.0,1.0,27,27
f02f8ae04681,hybrid_ce,gpt2,sst2,7,1,looks and feels like a project better suited for the small screen. ,looks and feels like a project better suited for the small screen. ,10.110338687896729,1.0,1.0,1.0,1,1.0,1.0,15,15
f02f8ae04681,hybrid_ce,gpt2,sst2,8,1,verbinski implements every hack-artist trick to give us the ooky-spookies. ,verbinski implements every hack-artist trick to give us the ooky-spookies. ,10.090166807174683,1.0,1.0,1.0,1,1.0,1.0,20,20
f02f8ae04681,hybrid_ce,gpt2,sst2,9,1,"this is a good script, good dialogue, funny even for adults. ","this is a good script, good dialogue, funny even for adults. ",10.078910827636719,1.0,1.0,1.0,1,1.0,1.0,15,15
f02f8ae04681,hybrid_ce,gpt2,sst2,10,1,a painfully funny ode to bad behavior. ,a painfully funny ode to bad behavior. ,10.171186208724976,1.0,1.0,1.0,1,1.0,1.0,10,10
f02f8ae04681,hybrid_ce,gpt2,sst2,11,1,"there is a fabric of complex ideas here, and feelings that profoundly deepen them. ","there is a fabric of complex ideas here, and feelings that profoundly deepen them. ",10.055941581726074,1.0,1.0,1.0,1,1.0,1.0,17,17
